{'matching_time': 1524078499.519843, 'greatest_constraints_time': 1524078499.519576, 'number_of_matches': 22, 'second_graph_creation_time': 1524078499.515251, 'graph_edge_sort_time': 1524078499.5193393, 'node_count': 182, 'start_time': 1524078499.4754062, 'first_graph_creation_time': 1524078499.496951}
{'matching_time': 1524078499.5654688, 'greatest_constraints_time': 1524078499.5651932, 'number_of_matches': 19, 'second_graph_creation_time': 1524078499.5614393, 'graph_edge_sort_time': 1524078499.564959, 'node_count': 197, 'start_time': 1524078499.5201309, 'first_graph_creation_time': 1524078499.5425084}
{'matching_time': 1524078499.611654, 'greatest_constraints_time': 1524078499.611129, 'number_of_matches': 39, 'second_graph_creation_time': 1524078499.606964, 'graph_edge_sort_time': 1524078499.6108797, 'node_count': 212, 'start_time': 1524078499.5657425, 'first_graph_creation_time': 1524078499.5885508}
{'matching_time': 1524078499.6600971, 'greatest_constraints_time': 1524078499.6597357, 'number_of_matches': 24, 'second_graph_creation_time': 1524078499.6551769, 'graph_edge_sort_time': 1524078499.659477, 'node_count': 209, 'start_time': 1524078499.6119845, 'first_graph_creation_time': 1524078499.6362753}
{'matching_time': 1524078499.7053158, 'greatest_constraints_time': 1524078499.7046337, 'number_of_matches': 53, 'second_graph_creation_time': 1524078499.7004247, 'graph_edge_sort_time': 1524078499.7043707, 'node_count': 215, 'start_time': 1524078499.6604793, 'first_graph_creation_time': 1524078499.6825242}
{'matching_time': 1524078499.7501538, 'greatest_constraints_time': 1524078499.749258, 'number_of_matches': 72, 'second_graph_creation_time': 1524078499.7447917, 'graph_edge_sort_time': 1524078499.7489948, 'node_count': 192, 'start_time': 1524078499.7055786, 'first_graph_creation_time': 1524078499.727373}
{'matching_time': 1524078499.7937744, 'greatest_constraints_time': 1524078499.7932658, 'number_of_matches': 38, 'second_graph_creation_time': 1524078499.7892795, 'graph_edge_sort_time': 1524078499.793025, 'node_count': 212, 'start_time': 1524078499.750422, 'first_graph_creation_time': 1524078499.77204}
{'matching_time': 1524078499.8415656, 'greatest_constraints_time': 1524078499.8407016, 'number_of_matches': 70, 'second_graph_creation_time': 1524078499.8361952, 'graph_edge_sort_time': 1524078499.840431, 'node_count': 203, 'start_time': 1524078499.793996, 'first_graph_creation_time': 1524078499.8162663}
{'matching_time': 1524078499.8942924, 'greatest_constraints_time': 1524078499.8939614, 'number_of_matches': 21, 'second_graph_creation_time': 1524078499.8892984, 'graph_edge_sort_time': 1524078499.893635, 'node_count': 214, 'start_time': 1524078499.841924, 'first_graph_creation_time': 1524078499.8683448}
{'matching_time': 1524078499.935087, 'greatest_constraints_time': 1524078499.9349973, 'number_of_matches': 7, 'second_graph_creation_time': 1524078499.9313037, 'graph_edge_sort_time': 1524078499.9348018, 'node_count': 180, 'start_time': 1524078499.894618, 'first_graph_creation_time': 1524078499.9148605}
{'matching_time': 1524078499.9799993, 'greatest_constraints_time': 1524078499.9791958, 'number_of_matches': 62, 'second_graph_creation_time': 1524078499.9748688, 'graph_edge_sort_time': 1524078499.978938, 'node_count': 202, 'start_time': 1524078499.9354894, 'first_graph_creation_time': 1524078499.9570327}
{'matching_time': 1524078500.021661, 'greatest_constraints_time': 1524078500.0213244, 'number_of_matches': 23, 'second_graph_creation_time': 1524078500.0172217, 'graph_edge_sort_time': 1524078500.0210469, 'node_count': 191, 'start_time': 1524078499.9802613, 'first_graph_creation_time': 1524078500.0010405}
{'matching_time': 1524078500.0702248, 'greatest_constraints_time': 1524078500.0696754, 'number_of_matches': 46, 'second_graph_creation_time': 1524078500.0649629, 'graph_edge_sort_time': 1524078500.0694258, 'node_count': 205, 'start_time': 1524078500.0219538, 'first_graph_creation_time': 1524078500.0456522}
