{'start_time': 1524076103.339704, 'number_of_matches': 107, 'greatest_constraints_time': 1524076103.3738978, 'second_graph_creation_time': 1524076103.3684206, 'first_graph_creation_time': 1524076103.35813, 'node_count': 107, 'matching_time': 1524076103.3751984, 'graph_edge_sort_time': 1524076103.3736603}
{'start_time': 1524076103.375466, 'number_of_matches': 100, 'greatest_constraints_time': 1524076103.4065228, 'second_graph_creation_time': 1524076103.4017375, 'first_graph_creation_time': 1524076103.3926945, 'node_count': 100, 'matching_time': 1524076103.407613, 'graph_edge_sort_time': 1524076103.4063334}
{'start_time': 1524076103.4078922, 'number_of_matches': 95, 'greatest_constraints_time': 1524076103.4363322, 'second_graph_creation_time': 1524076103.4315982, 'first_graph_creation_time': 1524076103.4231808, 'node_count': 95, 'matching_time': 1524076103.4373796, 'graph_edge_sort_time': 1524076103.4361455}
{'start_time': 1524076103.4376361, 'number_of_matches': 107, 'greatest_constraints_time': 1524076103.4709995, 'second_graph_creation_time': 1524076103.4656403, 'first_graph_creation_time': 1524076103.455446, 'node_count': 107, 'matching_time': 1524076103.4721909, 'graph_edge_sort_time': 1524076103.4707751}
{'start_time': 1524076103.4725115, 'number_of_matches': 101, 'greatest_constraints_time': 1524076103.5026588, 'second_graph_creation_time': 1524076103.497473, 'first_graph_creation_time': 1524076103.488806, 'node_count': 101, 'matching_time': 1524076103.5037918, 'graph_edge_sort_time': 1524076103.5024161}
{'start_time': 1524076103.504215, 'number_of_matches': 105, 'greatest_constraints_time': 1524076103.535595, 'second_graph_creation_time': 1524076103.530401, 'first_graph_creation_time': 1524076103.5212908, 'node_count': 105, 'matching_time': 1524076103.5368414, 'graph_edge_sort_time': 1524076103.5353475}
{'start_time': 1524076103.5373468, 'number_of_matches': 99, 'greatest_constraints_time': 1524076103.566046, 'second_graph_creation_time': 1524076103.5611858, 'first_graph_creation_time': 1524076103.5528953, 'node_count': 99, 'matching_time': 1524076103.567238, 'graph_edge_sort_time': 1524076103.5658486}
{'start_time': 1524076103.5676053, 'number_of_matches': 96, 'greatest_constraints_time': 1524076103.594856, 'second_graph_creation_time': 1524076103.5904617, 'first_graph_creation_time': 1524076103.5827317, 'node_count': 96, 'matching_time': 1524076103.5960498, 'graph_edge_sort_time': 1524076103.5946698}
{'start_time': 1524076103.5963159, 'number_of_matches': 95, 'greatest_constraints_time': 1524076103.625601, 'second_graph_creation_time': 1524076103.6210804, 'first_graph_creation_time': 1524076103.610814, 'node_count': 95, 'matching_time': 1524076103.626615, 'graph_edge_sort_time': 1524076103.625403}
{'start_time': 1524076103.6269395, 'number_of_matches': 93, 'greatest_constraints_time': 1524076103.6535442, 'second_graph_creation_time': 1524076103.6489928, 'first_graph_creation_time': 1524076103.641379, 'node_count': 93, 'matching_time': 1524076103.6545486, 'graph_edge_sort_time': 1524076103.6533713}
