{'matching_time': 1524081171.3374708, 'start_time': 1524081171.116207, 'number_of_matches': 120, 'node_count': 385, 'greatest_constraints_time': 1524081171.3337467, 'second_graph_creation_time': 1524081171.3159904, 'first_graph_creation_time': 1524081171.2162576, 'graph_edge_sort_time': 1524081171.333068}
{'matching_time': 1524081171.5644336, 'start_time': 1524081171.337865, 'number_of_matches': 16, 'node_count': 399, 'greatest_constraints_time': 1524081171.5639992, 'second_graph_creation_time': 1524081171.546971, 'first_graph_creation_time': 1524081171.44396, 'graph_edge_sort_time': 1524081171.563323}
{'matching_time': 1524081171.796254, 'start_time': 1524081171.5648148, 'number_of_matches': 116, 'node_count': 402, 'greatest_constraints_time': 1524081171.793059, 'second_graph_creation_time': 1524081171.7752314, 'first_graph_creation_time': 1524081171.6699274, 'graph_edge_sort_time': 1524081171.7923253}
{'matching_time': 1524081172.0561554, 'start_time': 1524081171.796641, 'number_of_matches': 153, 'node_count': 429, 'greatest_constraints_time': 1524081172.0514426, 'second_graph_creation_time': 1524081172.0314484, 'first_graph_creation_time': 1524081171.913542, 'graph_edge_sort_time': 1524081172.0507498}
{'matching_time': 1524081172.2908604, 'start_time': 1524081172.0565317, 'number_of_matches': 87, 'node_count': 404, 'greatest_constraints_time': 1524081172.2885716, 'second_graph_creation_time': 1524081172.2707098, 'first_graph_creation_time': 1524081172.1639884, 'graph_edge_sort_time': 1524081172.2879095}
{'matching_time': 1524081172.4922729, 'start_time': 1524081172.2912395, 'number_of_matches': 38, 'node_count': 364, 'greatest_constraints_time': 1524081172.4913907, 'second_graph_creation_time': 1524081172.476621, 'first_graph_creation_time': 1524081172.3869908, 'graph_edge_sort_time': 1524081172.4908812}
{'matching_time': 1524081172.7181244, 'start_time': 1524081172.4926176, 'number_of_matches': 86, 'node_count': 397, 'greatest_constraints_time': 1524081172.7155163, 'second_graph_creation_time': 1524081172.6983309, 'first_graph_creation_time': 1524081172.5967064, 'graph_edge_sort_time': 1524081172.7149327}
{'matching_time': 1524081172.9552374, 'start_time': 1524081172.718777, 'number_of_matches': 18, 'node_count': 425, 'greatest_constraints_time': 1524081172.9547405, 'second_graph_creation_time': 1524081172.9371305, 'first_graph_creation_time': 1524081172.8288772, 'graph_edge_sort_time': 1524081172.954132}
{'matching_time': 1524081173.1540155, 'start_time': 1524081172.955554, 'number_of_matches': 101, 'node_count': 371, 'greatest_constraints_time': 1524081173.1511788, 'second_graph_creation_time': 1524081173.1359947, 'first_graph_creation_time': 1524081173.048384, 'graph_edge_sort_time': 1524081173.1506062}
{'matching_time': 1524081173.3929932, 'start_time': 1524081173.1543212, 'number_of_matches': 13, 'node_count': 411, 'greatest_constraints_time': 1524081173.392715, 'second_graph_creation_time': 1524081173.3757834, 'first_graph_creation_time': 1524081173.2670689, 'graph_edge_sort_time': 1524081173.3921986}
{'matching_time': 1524081173.6415412, 'start_time': 1524081173.3949473, 'number_of_matches': 107, 'node_count': 439, 'greatest_constraints_time': 1524081173.6385329, 'second_graph_creation_time': 1524081173.6202712, 'first_graph_creation_time': 1524081173.5077267, 'graph_edge_sort_time': 1524081173.6378868}
{'matching_time': 1524081173.849718, 'start_time': 1524081173.6419082, 'number_of_matches': 128, 'node_count': 373, 'greatest_constraints_time': 1524081173.8463404, 'second_graph_creation_time': 1524081173.8301063, 'first_graph_creation_time': 1524081173.7388132, 'graph_edge_sort_time': 1524081173.845664}
{'matching_time': 1524081174.066158, 'start_time': 1524081173.850089, 'number_of_matches': 83, 'node_count': 382, 'greatest_constraints_time': 1524081174.0639558, 'second_graph_creation_time': 1524081174.047398, 'first_graph_creation_time': 1524081173.9505372, 'graph_edge_sort_time': 1524081174.0633938}
{'matching_time': 1524081174.3076553, 'start_time': 1524081174.0665114, 'number_of_matches': 81, 'node_count': 404, 'greatest_constraints_time': 1524081174.305456, 'second_graph_creation_time': 1524081174.2877057, 'first_graph_creation_time': 1524081174.1779463, 'graph_edge_sort_time': 1524081174.3047886}
{'matching_time': 1524081174.5589685, 'start_time': 1524081174.3080776, 'number_of_matches': 13, 'node_count': 435, 'greatest_constraints_time': 1524081174.5586486, 'second_graph_creation_time': 1524081174.5406942, 'first_graph_creation_time': 1524081174.4250994, 'graph_edge_sort_time': 1524081174.558082}
{'matching_time': 1524081174.7554822, 'start_time': 1524081174.5592725, 'number_of_matches': 112, 'node_count': 364, 'greatest_constraints_time': 1524081174.7527368, 'second_graph_creation_time': 1524081174.7373161, 'first_graph_creation_time': 1524081174.6489809, 'graph_edge_sort_time': 1524081174.752017}
{'matching_time': 1524081175.0254364, 'start_time': 1524081174.7558246, 'number_of_matches': 53, 'node_count': 430, 'greatest_constraints_time': 1524081175.0239763, 'second_graph_creation_time': 1524081175.0053442, 'first_graph_creation_time': 1524081174.8855839, 'graph_edge_sort_time': 1524081175.0233579}
{'matching_time': 1524081175.2390428, 'start_time': 1524081175.025771, 'number_of_matches': 49, 'node_count': 367, 'greatest_constraints_time': 1524081175.2379143, 'second_graph_creation_time': 1524081175.2221763, 'first_graph_creation_time': 1524081175.126026, 'graph_edge_sort_time': 1524081175.2374258}
{'matching_time': 1524081175.484104, 'start_time': 1524081175.2393875, 'number_of_matches': 32, 'node_count': 437, 'greatest_constraints_time': 1524081175.4831097, 'second_graph_creation_time': 1524081175.465961, 'first_graph_creation_time': 1524081175.3529308, 'graph_edge_sort_time': 1524081175.4825385}
{'matching_time': 1524081175.6954923, 'start_time': 1524081175.4845817, 'number_of_matches': 68, 'node_count': 379, 'greatest_constraints_time': 1524081175.6936264, 'second_graph_creation_time': 1524081175.677261, 'first_graph_creation_time': 1524081175.5835907, 'graph_edge_sort_time': 1524081175.6929595}
{'matching_time': 1524081175.9221144, 'start_time': 1524081175.6958346, 'number_of_matches': 19, 'node_count': 400, 'greatest_constraints_time': 1524081175.9216495, 'second_graph_creation_time': 1524081175.9045198, 'first_graph_creation_time': 1524081175.8033106, 'graph_edge_sort_time': 1524081175.9211137}
{'matching_time': 1524081176.1601033, 'start_time': 1524081175.9224381, 'number_of_matches': 55, 'node_count': 409, 'greatest_constraints_time': 1524081176.1587124, 'second_graph_creation_time': 1524081176.1410847, 'first_graph_creation_time': 1524081176.0317316, 'graph_edge_sort_time': 1524081176.1581035}
