{'first_graph_creation_time': 1524076378.3844407, 'node_count': 94, 'second_graph_creation_time': 1524076378.4019904, 'matching_time': 1524076378.4072635, 'greatest_constraints_time': 1524076378.4063797, 'graph_edge_sort_time': 1524076378.4062057, 'number_of_matches': 45, 'start_time': 1524076378.358725}
{'first_graph_creation_time': 1524076378.430905, 'node_count': 90, 'second_graph_creation_time': 1524076378.4456222, 'matching_time': 1524076378.4515772, 'greatest_constraints_time': 1524076378.4503183, 'graph_edge_sort_time': 1524076378.4501662, 'number_of_matches': 61, 'start_time': 1524076378.4076269}
{'first_graph_creation_time': 1524076378.4826043, 'node_count': 98, 'second_graph_creation_time': 1524076378.5004628, 'matching_time': 1524076378.5065475, 'greatest_constraints_time': 1524076378.5053713, 'graph_edge_sort_time': 1524076378.5051806, 'number_of_matches': 52, 'start_time': 1524076378.4518406}
{'first_graph_creation_time': 1524076378.5328517, 'node_count': 94, 'second_graph_creation_time': 1524076378.550002, 'matching_time': 1524076378.5541701, 'greatest_constraints_time': 1524076378.5537722, 'graph_edge_sort_time': 1524076378.5536525, 'number_of_matches': 28, 'start_time': 1524076378.5069776}
{'first_graph_creation_time': 1524076378.5785112, 'node_count': 90, 'second_graph_creation_time': 1524076378.5941782, 'matching_time': 1524076378.600405, 'greatest_constraints_time': 1524076378.5990434, 'graph_edge_sort_time': 1524076378.5988872, 'number_of_matches': 58, 'start_time': 1524076378.554459}
{'first_graph_creation_time': 1524076378.6314523, 'node_count': 106, 'second_graph_creation_time': 1524076378.653068, 'matching_time': 1524076378.6601813, 'greatest_constraints_time': 1524076378.6588137, 'graph_edge_sort_time': 1524076378.6586087, 'number_of_matches': 60, 'start_time': 1524076378.6008077}
{'first_graph_creation_time': 1524076378.6893742, 'node_count': 101, 'second_graph_creation_time': 1524076378.7088583, 'matching_time': 1524076378.7146668, 'greatest_constraints_time': 1524076378.7139258, 'graph_edge_sort_time': 1524076378.713773, 'number_of_matches': 43, 'start_time': 1524076378.6604915}
{'first_graph_creation_time': 1524076378.7459319, 'node_count': 109, 'second_graph_creation_time': 1524076378.7683709, 'matching_time': 1524076378.774995, 'greatest_constraints_time': 1524076378.773834, 'graph_edge_sort_time': 1524076378.77366, 'number_of_matches': 59, 'start_time': 1524076378.715009}
{'first_graph_creation_time': 1524076378.79939, 'node_count': 93, 'second_graph_creation_time': 1524076378.8160713, 'matching_time': 1524076378.8209605, 'greatest_constraints_time': 1524076378.820356, 'graph_edge_sort_time': 1524076378.8202155, 'number_of_matches': 37, 'start_time': 1524076378.7752545}
{'first_graph_creation_time': 1524076378.8468664, 'node_count': 94, 'second_graph_creation_time': 1524076378.8641405, 'matching_time': 1524076378.8695426, 'greatest_constraints_time': 1524076378.868642, 'graph_edge_sort_time': 1524076378.868505, 'number_of_matches': 45, 'start_time': 1524076378.8213034}
{'first_graph_creation_time': 1524076378.899271, 'node_count': 101, 'second_graph_creation_time': 1524076378.9193337, 'matching_time': 1524076378.9259217, 'greatest_constraints_time': 1524076378.9246066, 'graph_edge_sort_time': 1524076378.924436, 'number_of_matches': 62, 'start_time': 1524076378.8699894}
{'first_graph_creation_time': 1524076378.9492412, 'node_count': 90, 'second_graph_creation_time': 1524076378.9656465, 'matching_time': 1524076378.9701638, 'greatest_constraints_time': 1524076378.969534, 'graph_edge_sort_time': 1524076378.9694035, 'number_of_matches': 39, 'start_time': 1524076378.926232}
{'first_graph_creation_time': 1524076378.994391, 'node_count': 91, 'second_graph_creation_time': 1524076379.0099459, 'matching_time': 1524076379.0157983, 'greatest_constraints_time': 1524076379.0145905, 'graph_edge_sort_time': 1524076379.014442, 'number_of_matches': 59, 'start_time': 1524076378.970471}
{'first_graph_creation_time': 1524076379.0479417, 'node_count': 109, 'second_graph_creation_time': 1524076379.070176, 'matching_time': 1524076379.0769503, 'greatest_constraints_time': 1524076379.07585, 'graph_edge_sort_time': 1524076379.0756605, 'number_of_matches': 55, 'start_time': 1524076379.0160716}
