{'first_graph_creation_time': 1524078483.0380085, 'matching_time': 1524078483.061734, 'number_of_matches': 105, 'second_graph_creation_time': 1524078483.054769, 'start_time': 1524078483.0155556, 'node_count': 184, 'greatest_constraints_time': 1524078483.0601034, 'graph_edge_sort_time': 1524078483.0598054}
{'first_graph_creation_time': 1524078483.0842235, 'matching_time': 1524078483.1085021, 'number_of_matches': 105, 'second_graph_creation_time': 1524078483.1012208, 'start_time': 1524078483.0620987, 'node_count': 192, 'greatest_constraints_time': 1524078483.106328, 'graph_edge_sort_time': 1524078483.1060112}
{'first_graph_creation_time': 1524078483.131062, 'matching_time': 1524078483.1557753, 'number_of_matches': 131, 'second_graph_creation_time': 1524078483.1472642, 'start_time': 1524078483.1088047, 'node_count': 198, 'greatest_constraints_time': 1524078483.1535187, 'graph_edge_sort_time': 1524078483.1530287}
{'first_graph_creation_time': 1524078483.1813602, 'matching_time': 1524078483.2077885, 'number_of_matches': 84, 'second_graph_creation_time': 1524078483.2011209, 'start_time': 1524078483.1560652, 'node_count': 213, 'greatest_constraints_time': 1524078483.2061446, 'graph_edge_sort_time': 1524078483.205835}
{'first_graph_creation_time': 1524078483.2346673, 'matching_time': 1524078483.262526, 'number_of_matches': 124, 'second_graph_creation_time': 1524078483.254542, 'start_time': 1524078483.2081683, 'node_count': 220, 'greatest_constraints_time': 1524078483.2605572, 'graph_edge_sort_time': 1524078483.260215}
{'first_graph_creation_time': 1524078483.286169, 'matching_time': 1524078483.3120606, 'number_of_matches': 104, 'second_graph_creation_time': 1524078483.3051958, 'start_time': 1524078483.262811, 'node_count': 210, 'greatest_constraints_time': 1524078483.3105028, 'graph_edge_sort_time': 1524078483.3101943}
{'first_graph_creation_time': 1524078483.3329873, 'matching_time': 1524078483.3537397, 'number_of_matches': 89, 'second_graph_creation_time': 1524078483.3482935, 'start_time': 1524078483.312345, 'node_count': 181, 'greatest_constraints_time': 1524078483.3523972, 'graph_edge_sort_time': 1524078483.352128}
{'first_graph_creation_time': 1524078483.3752065, 'matching_time': 1524078483.397817, 'number_of_matches': 70, 'second_graph_creation_time': 1524078483.3927286, 'start_time': 1524078483.3540275, 'node_count': 187, 'greatest_constraints_time': 1524078483.3968272, 'graph_edge_sort_time': 1524078483.3965685}
{'first_graph_creation_time': 1524078483.4187589, 'matching_time': 1524078483.4417872, 'number_of_matches': 119, 'second_graph_creation_time': 1524078483.4340057, 'start_time': 1524078483.398101, 'node_count': 181, 'greatest_constraints_time': 1524078483.4396675, 'graph_edge_sort_time': 1524078483.43916}
{'first_graph_creation_time': 1524078483.4693854, 'matching_time': 1524078483.499406, 'number_of_matches': 102, 'second_graph_creation_time': 1524078483.491956, 'start_time': 1524078483.4420805, 'node_count': 219, 'greatest_constraints_time': 1524078483.497651, 'graph_edge_sort_time': 1524078483.497313}
{'first_graph_creation_time': 1524078483.5241764, 'matching_time': 1524078483.5506399, 'number_of_matches': 123, 'second_graph_creation_time': 1524078483.5432434, 'start_time': 1524078483.4997833, 'node_count': 190, 'greatest_constraints_time': 1524078483.5486658, 'graph_edge_sort_time': 1524078483.548201}
{'first_graph_creation_time': 1524078483.5713253, 'matching_time': 1524078483.6182392, 'number_of_matches': 117, 'second_graph_creation_time': 1524078483.6107059, 'start_time': 1524078483.550965, 'node_count': 183, 'greatest_constraints_time': 1524078483.616319, 'graph_edge_sort_time': 1524078483.615994}
{'first_graph_creation_time': 1524078483.6421843, 'matching_time': 1524078483.667208, 'number_of_matches': 121, 'second_graph_creation_time': 1524078483.6598117, 'start_time': 1524078483.618558, 'node_count': 202, 'greatest_constraints_time': 1524078483.665162, 'graph_edge_sort_time': 1524078483.6648297}
{'first_graph_creation_time': 1524078483.6931944, 'matching_time': 1524078483.7215774, 'number_of_matches': 121, 'second_graph_creation_time': 1524078483.7139087, 'start_time': 1524078483.6675022, 'node_count': 219, 'greatest_constraints_time': 1524078483.719708, 'graph_edge_sort_time': 1524078483.719361}
{'first_graph_creation_time': 1524078483.7460117, 'matching_time': 1524078483.7705634, 'number_of_matches': 107, 'second_graph_creation_time': 1524078483.7639914, 'start_time': 1524078483.721861, 'node_count': 203, 'greatest_constraints_time': 1524078483.7689707, 'graph_edge_sort_time': 1524078483.7685955}
{'first_graph_creation_time': 1524078483.7947302, 'matching_time': 1524078483.8201966, 'number_of_matches': 129, 'second_graph_creation_time': 1524078483.8125565, 'start_time': 1524078483.7709553, 'node_count': 203, 'greatest_constraints_time': 1524078483.8180912, 'graph_edge_sort_time': 1524078483.8177319}
{'first_graph_creation_time': 1524078483.8445904, 'matching_time': 1524078483.8695939, 'number_of_matches': 108, 'second_graph_creation_time': 1524078483.862957, 'start_time': 1524078483.820476, 'node_count': 212, 'greatest_constraints_time': 1524078483.867946, 'graph_edge_sort_time': 1524078483.8676329}
{'first_graph_creation_time': 1524078483.8943787, 'matching_time': 1524078483.9192612, 'number_of_matches': 115, 'second_graph_creation_time': 1524078483.9122038, 'start_time': 1524078483.869876, 'node_count': 196, 'greatest_constraints_time': 1524078483.9174893, 'graph_edge_sort_time': 1524078483.917155}
