{'node_count': 270, 'graph_edge_sort_time': 1524080296.7582495, 'start_time': 1524080296.170406, 'second_graph_creation_time': 1524080296.707036, 'number_of_matches': 216, 'first_graph_creation_time': 1524080296.4531167, 'matching_time': 1524080296.7745914, 'greatest_constraints_time': 1524080296.7590287}
{'node_count': 302, 'graph_edge_sort_time': 1524080297.509456, 'start_time': 1524080296.7749856, 'second_graph_creation_time': 1524080297.4386172, 'number_of_matches': 279, 'first_graph_creation_time': 1524080297.1268613, 'matching_time': 1524080297.533925, 'greatest_constraints_time': 1524080297.5105264}
{'node_count': 301, 'graph_edge_sort_time': 1524080298.268128, 'start_time': 1524080297.5343168, 'second_graph_creation_time': 1524080298.2019699, 'number_of_matches': 265, 'first_graph_creation_time': 1524080297.8853157, 'matching_time': 1524080298.290829, 'greatest_constraints_time': 1524080298.2692554}
{'node_count': 288, 'graph_edge_sort_time': 1524080298.9605718, 'start_time': 1524080298.2928405, 'second_graph_creation_time': 1524080298.8968976, 'number_of_matches': 259, 'first_graph_creation_time': 1524080298.6150036, 'matching_time': 1524080298.9820657, 'greatest_constraints_time': 1524080298.9615228}
{'node_count': 270, 'graph_edge_sort_time': 1524080299.5753875, 'start_time': 1524080298.982392, 'second_graph_creation_time': 1524080299.523118, 'number_of_matches': 218, 'first_graph_creation_time': 1524080299.265922, 'matching_time': 1524080299.5916846, 'greatest_constraints_time': 1524080299.5761712}
{'node_count': 296, 'graph_edge_sort_time': 1524080300.3037245, 'start_time': 1524080299.592008, 'second_graph_creation_time': 1524080300.2429194, 'number_of_matches': 239, 'first_graph_creation_time': 1524080299.9292626, 'matching_time': 1524080300.3234098, 'greatest_constraints_time': 1524080300.3048415}
{'node_count': 302, 'graph_edge_sort_time': 1524080301.0679984, 'start_time': 1524080300.323738, 'second_graph_creation_time': 1524080301.0011494, 'number_of_matches': 259, 'first_graph_creation_time': 1524080300.6783087, 'matching_time': 1524080301.0898993, 'greatest_constraints_time': 1524080301.0690985}
{'node_count': 329, 'graph_edge_sort_time': 1524080301.9243486, 'start_time': 1524080301.0902386, 'second_graph_creation_time': 1524080301.8493516, 'number_of_matches': 295, 'first_graph_creation_time': 1524080301.4843152, 'matching_time': 1524080301.952056, 'greatest_constraints_time': 1524080301.9255767}
{'node_count': 309, 'graph_edge_sort_time': 1524080302.7097754, 'start_time': 1524080301.9524574, 'second_graph_creation_time': 1524080302.6539865, 'number_of_matches': 206, 'first_graph_creation_time': 1524080302.3051937, 'matching_time': 1524080302.724206, 'greatest_constraints_time': 1524080302.710575}
{'node_count': 270, 'graph_edge_sort_time': 1524080303.3045075, 'start_time': 1524080302.7245607, 'second_graph_creation_time': 1524080303.2430093, 'number_of_matches': 263, 'first_graph_creation_time': 1524080303.010334, 'matching_time': 1524080303.3342583, 'greatest_constraints_time': 1524080303.3056684}
{'node_count': 303, 'graph_edge_sort_time': 1524080304.0853446, 'start_time': 1524080303.3360598, 'second_graph_creation_time': 1524080304.0270553, 'number_of_matches': 225, 'first_graph_creation_time': 1524080303.6928782, 'matching_time': 1524080304.1023905, 'greatest_constraints_time': 1524080304.0862057}
{'node_count': 278, 'graph_edge_sort_time': 1524080304.7308376, 'start_time': 1524080304.1027422, 'second_graph_creation_time': 1524080304.6779528, 'number_of_matches': 216, 'first_graph_creation_time': 1524080304.4031577, 'matching_time': 1524080304.7468405, 'greatest_constraints_time': 1524080304.731763}
{'node_count': 292, 'graph_edge_sort_time': 1524080305.441622, 'start_time': 1524080304.7472444, 'second_graph_creation_time': 1524080305.3777726, 'number_of_matches': 260, 'first_graph_creation_time': 1524080305.0795107, 'matching_time': 1524080305.4635744, 'greatest_constraints_time': 1524080305.4425921}
{'node_count': 313, 'graph_edge_sort_time': 1524080306.2538745, 'start_time': 1524080305.4639094, 'second_graph_creation_time': 1524080306.1967666, 'number_of_matches': 213, 'first_graph_creation_time': 1524080305.8314648, 'matching_time': 1524080306.2693148, 'greatest_constraints_time': 1524080306.2547462}
{'node_count': 292, 'graph_edge_sort_time': 1524080306.959199, 'start_time': 1524080306.2696655, 'second_graph_creation_time': 1524080306.90447, 'number_of_matches': 216, 'first_graph_creation_time': 1524080306.5968742, 'matching_time': 1524080306.9753578, 'greatest_constraints_time': 1524080306.9601889}
{'node_count': 304, 'graph_edge_sort_time': 1524080307.7099166, 'start_time': 1524080306.9757056, 'second_graph_creation_time': 1524080307.651724, 'number_of_matches': 226, 'first_graph_creation_time': 1524080307.3209157, 'matching_time': 1524080307.726899, 'greatest_constraints_time': 1524080307.7108488}
