{'start_time': 1524076083.4872746, 'graph_edge_sort_time': 1524076083.498088, 'first_graph_creation_time': 1524076083.4928827, 'node_count': 105, 'matching_time': 1524076083.4983375, 'greatest_constraints_time': 1524076083.4982176, 'number_of_matches': 14, 'second_graph_creation_time': 1524076083.497007}
{'start_time': 1524076083.498568, 'graph_edge_sort_time': 1524076083.5104828, 'first_graph_creation_time': 1524076083.5048506, 'node_count': 103, 'matching_time': 1524076083.5107195, 'greatest_constraints_time': 1524076083.510602, 'number_of_matches': 11, 'second_graph_creation_time': 1524076083.5094173}
{'start_time': 1524076083.510956, 'graph_edge_sort_time': 1524076083.5212412, 'first_graph_creation_time': 1524076083.5160034, 'node_count': 96, 'matching_time': 1524076083.5214102, 'greatest_constraints_time': 1524076083.5213506, 'number_of_matches': 8, 'second_graph_creation_time': 1524076083.5200877}
{'start_time': 1524076083.521663, 'graph_edge_sort_time': 1524076083.533427, 'first_graph_creation_time': 1524076083.5279946, 'node_count': 96, 'matching_time': 1524076083.5336866, 'greatest_constraints_time': 1524076083.5335941, 'number_of_matches': 11, 'second_graph_creation_time': 1524076083.532297}
{'start_time': 1524076083.5340676, 'graph_edge_sort_time': 1524076083.5440435, 'first_graph_creation_time': 1524076083.5391197, 'node_count': 95, 'matching_time': 1524076083.5443735, 'greatest_constraints_time': 1524076083.544161, 'number_of_matches': 28, 'second_graph_creation_time': 1524076083.542975}
{'start_time': 1524076083.5446653, 'graph_edge_sort_time': 1524076083.554241, 'first_graph_creation_time': 1524076083.5494063, 'node_count': 94, 'matching_time': 1524076083.5543637, 'greatest_constraints_time': 1524076083.5543404, 'number_of_matches': 3, 'second_graph_creation_time': 1524076083.553359}
{'start_time': 1524076083.554627, 'graph_edge_sort_time': 1524076083.566128, 'first_graph_creation_time': 1524076083.5603428, 'node_count': 102, 'matching_time': 1524076083.5666244, 'greatest_constraints_time': 1524076083.5662649, 'number_of_matches': 45, 'second_graph_creation_time': 1524076083.5644715}
{'start_time': 1524076083.5670836, 'graph_edge_sort_time': 1524076083.578957, 'first_graph_creation_time': 1524076083.5730224, 'node_count': 104, 'matching_time': 1524076083.5792356, 'greatest_constraints_time': 1524076083.5790737, 'number_of_matches': 19, 'second_graph_creation_time': 1524076083.5777886}
{'start_time': 1524076083.5795403, 'graph_edge_sort_time': 1524076083.5910532, 'first_graph_creation_time': 1524076083.5855343, 'node_count': 98, 'matching_time': 1524076083.5915065, 'greatest_constraints_time': 1524076083.591225, 'number_of_matches': 34, 'second_graph_creation_time': 1524076083.589901}
{'start_time': 1524076083.5918467, 'graph_edge_sort_time': 1524076083.603669, 'first_graph_creation_time': 1524076083.5970142, 'node_count': 100, 'matching_time': 1524076083.6038182, 'greatest_constraints_time': 1524076083.6037688, 'number_of_matches': 6, 'second_graph_creation_time': 1524076083.6026385}
{'start_time': 1524076083.604178, 'graph_edge_sort_time': 1524076083.613126, 'first_graph_creation_time': 1524076083.6088758, 'node_count': 91, 'matching_time': 1524076083.613328, 'greatest_constraints_time': 1524076083.6132283, 'number_of_matches': 14, 'second_graph_creation_time': 1524076083.6122098}
{'start_time': 1524076083.6136365, 'graph_edge_sort_time': 1524076083.6239219, 'first_graph_creation_time': 1524076083.6190617, 'node_count': 100, 'matching_time': 1524076083.6240656, 'greatest_constraints_time': 1524076083.6240191, 'number_of_matches': 6, 'second_graph_creation_time': 1524076083.622997}
{'start_time': 1524076083.6243825, 'graph_edge_sort_time': 1524076083.6346588, 'first_graph_creation_time': 1524076083.629417, 'node_count': 93, 'matching_time': 1524076083.634945, 'greatest_constraints_time': 1524076083.634781, 'number_of_matches': 14, 'second_graph_creation_time': 1524076083.6336238}
{'start_time': 1524076083.6353152, 'graph_edge_sort_time': 1524076083.645471, 'first_graph_creation_time': 1524076083.6405993, 'node_count': 93, 'matching_time': 1524076083.645632, 'greatest_constraints_time': 1524076083.6455686, 'number_of_matches': 7, 'second_graph_creation_time': 1524076083.6445205}
{'start_time': 1524076083.6459765, 'graph_edge_sort_time': 1524076083.6562448, 'first_graph_creation_time': 1524076083.6511562, 'node_count': 94, 'matching_time': 1524076083.6565938, 'greatest_constraints_time': 1524076083.6563618, 'number_of_matches': 28, 'second_graph_creation_time': 1524076083.6552172}
{'start_time': 1524076083.6568975, 'graph_edge_sort_time': 1524076083.6663125, 'first_graph_creation_time': 1524076083.6617107, 'node_count': 99, 'matching_time': 1524076083.666429, 'greatest_constraints_time': 1524076083.6664128, 'number_of_matches': 1, 'second_graph_creation_time': 1524076083.6653805}
{'start_time': 1524076083.6666765, 'graph_edge_sort_time': 1524076083.6779504, 'first_graph_creation_time': 1524076083.6726022, 'node_count': 107, 'matching_time': 1524076083.6781318, 'greatest_constraints_time': 1524076083.6780548, 'number_of_matches': 9, 'second_graph_creation_time': 1524076083.6768951}
{'start_time': 1524076083.67838, 'graph_edge_sort_time': 1524076083.688735, 'first_graph_creation_time': 1524076083.6837363, 'node_count': 97, 'matching_time': 1524076083.68918, 'greatest_constraints_time': 1524076083.6888855, 'number_of_matches': 38, 'second_graph_creation_time': 1524076083.6876554}
