{'second_graph_creation_time': 1524078413.1964107, 'number_of_matches': 214, 'node_count': 214, 'greatest_constraints_time': 1524078413.2046278, 'first_graph_creation_time': 1524078413.1801631, 'graph_edge_sort_time': 1524078413.2041981, 'matching_time': 1524078413.207724, 'start_time': 1524078413.1565392}
{'second_graph_creation_time': 1524078413.2433538, 'number_of_matches': 205, 'node_count': 203, 'greatest_constraints_time': 1524078413.2515323, 'first_graph_creation_time': 1524078413.2300684, 'graph_edge_sort_time': 1524078413.2510362, 'matching_time': 1524078413.254422, 'start_time': 1524078413.20796}
{'second_graph_creation_time': 1524078413.2872584, 'number_of_matches': 185, 'node_count': 185, 'greatest_constraints_time': 1524078413.294045, 'first_graph_creation_time': 1524078413.2752523, 'graph_edge_sort_time': 1524078413.2936819, 'matching_time': 1524078413.2967465, 'start_time': 1524078413.2547033}
{'second_graph_creation_time': 1524078413.328356, 'number_of_matches': 182, 'node_count': 182, 'greatest_constraints_time': 1524078413.3352668, 'first_graph_creation_time': 1524078413.316874, 'graph_edge_sort_time': 1524078413.3349223, 'matching_time': 1524078413.3378916, 'start_time': 1524078413.2969851}
{'second_graph_creation_time': 1524078413.3764212, 'number_of_matches': 200, 'node_count': 200, 'greatest_constraints_time': 1524078413.3844244, 'first_graph_creation_time': 1524078413.3620088, 'graph_edge_sort_time': 1524078413.3840466, 'matching_time': 1524078413.3876574, 'start_time': 1524078413.3381033}
{'second_graph_creation_time': 1524078413.426001, 'number_of_matches': 202, 'node_count': 202, 'greatest_constraints_time': 1524078413.4342477, 'first_graph_creation_time': 1524078413.411503, 'graph_edge_sort_time': 1524078413.4338322, 'matching_time': 1524078413.4374623, 'start_time': 1524078413.3879268}
{'second_graph_creation_time': 1524078413.4794998, 'number_of_matches': 206, 'node_count': 206, 'greatest_constraints_time': 1524078413.4879346, 'first_graph_creation_time': 1524078413.4646595, 'graph_edge_sort_time': 1524078413.487498, 'matching_time': 1524078413.4912426, 'start_time': 1524078413.4378178}
{'second_graph_creation_time': 1524078413.5242343, 'number_of_matches': 191, 'node_count': 191, 'greatest_constraints_time': 1524078413.5314639, 'first_graph_creation_time': 1524078413.512247, 'graph_edge_sort_time': 1524078413.5310652, 'matching_time': 1524078413.5343008, 'start_time': 1524078413.491623}
{'second_graph_creation_time': 1524078413.5673387, 'number_of_matches': 186, 'node_count': 186, 'greatest_constraints_time': 1524078413.5745237, 'first_graph_creation_time': 1524078413.5548332, 'graph_edge_sort_time': 1524078413.574121, 'matching_time': 1524078413.5774086, 'start_time': 1524078413.5345592}
{'second_graph_creation_time': 1524078413.6103847, 'number_of_matches': 189, 'node_count': 187, 'greatest_constraints_time': 1524078413.6173964, 'first_graph_creation_time': 1524078413.5985618, 'graph_edge_sort_time': 1524078413.6170037, 'matching_time': 1524078413.6201797, 'start_time': 1524078413.5776885}
{'second_graph_creation_time': 1524078413.6625786, 'number_of_matches': 214, 'node_count': 214, 'greatest_constraints_time': 1524078413.671795, 'first_graph_creation_time': 1524078413.646107, 'graph_edge_sort_time': 1524078413.6713343, 'matching_time': 1524078413.67567, 'start_time': 1524078413.6204457}
