{'start_time': 1524078433.620537, 'graph_edge_sort_time': 1524078433.6692765, 'second_graph_creation_time': 1524078433.6626163, 'matching_time': 1524078433.6714396, 'first_graph_creation_time': 1524078433.6454034, 'node_count': 211, 'number_of_matches': 188, 'greatest_constraints_time': 1524078433.6696415}
{'start_time': 1524078433.6717134, 'graph_edge_sort_time': 1524078433.7258031, 'second_graph_creation_time': 1524078433.717394, 'matching_time': 1524078433.7285516, 'first_graph_creation_time': 1524078433.6978357, 'node_count': 215, 'number_of_matches': 210, 'greatest_constraints_time': 1524078433.726414}
{'start_time': 1524078433.728883, 'graph_edge_sort_time': 1524078433.7933257, 'second_graph_creation_time': 1524078433.786977, 'matching_time': 1524078433.79532, 'first_graph_creation_time': 1524078433.7737892, 'node_count': 190, 'number_of_matches': 187, 'greatest_constraints_time': 1524078433.7936745}
{'start_time': 1524078433.7956069, 'graph_edge_sort_time': 1524078433.8375983, 'second_graph_creation_time': 1524078433.8324587, 'matching_time': 1524078433.8396688, 'first_graph_creation_time': 1524078433.8173203, 'node_count': 209, 'number_of_matches': 158, 'greatest_constraints_time': 1524078433.8379796}
{'start_time': 1524078433.8399346, 'graph_edge_sort_time': 1524078433.8862278, 'second_graph_creation_time': 1524078433.8800807, 'matching_time': 1524078433.8883185, 'first_graph_creation_time': 1524078433.8633733, 'node_count': 208, 'number_of_matches': 177, 'greatest_constraints_time': 1524078433.886614}
{'start_time': 1524078433.8885853, 'graph_edge_sort_time': 1524078433.926656, 'second_graph_creation_time': 1524078433.9207275, 'matching_time': 1524078433.928625, 'first_graph_creation_time': 1524078433.9090443, 'node_count': 193, 'number_of_matches': 193, 'greatest_constraints_time': 1524078433.9270346}
{'start_time': 1524078433.9289634, 'graph_edge_sort_time': 1524078433.9801743, 'second_graph_creation_time': 1524078433.9731193, 'matching_time': 1524078433.982563, 'first_graph_creation_time': 1524078433.955286, 'node_count': 219, 'number_of_matches': 199, 'greatest_constraints_time': 1524078433.9805999}
{'start_time': 1524078433.9828393, 'graph_edge_sort_time': 1524078434.032246, 'second_graph_creation_time': 1524078434.0265253, 'matching_time': 1524078434.0343056, 'first_graph_creation_time': 1524078434.0068007, 'node_count': 202, 'number_of_matches': 159, 'greatest_constraints_time': 1524078434.0326066}
{'start_time': 1524078434.0345912, 'graph_edge_sort_time': 1524078434.080379, 'second_graph_creation_time': 1524078434.0750687, 'matching_time': 1524078434.082277, 'first_graph_creation_time': 1524078434.0580063, 'node_count': 209, 'number_of_matches': 147, 'greatest_constraints_time': 1524078434.0807583}
{'start_time': 1524078434.0825121, 'graph_edge_sort_time': 1524078434.1209009, 'second_graph_creation_time': 1524078434.1150246, 'matching_time': 1524078434.122855, 'first_graph_creation_time': 1524078434.1028833, 'node_count': 186, 'number_of_matches': 180, 'greatest_constraints_time': 1524078434.1212547}
