{'graph_edge_sort_time': 1524080674.7174306, 'node_count': 298, 'first_graph_creation_time': 1524080674.3402576, 'start_time': 1524080674.0014386, 'number_of_matches': 81, 'second_graph_creation_time': 1524080674.678033, 'matching_time': 1524080674.720983, 'greatest_constraints_time': 1524080674.7180414}
{'graph_edge_sort_time': 1524080675.5222132, 'node_count': 323, 'first_graph_creation_time': 1524080675.0988839, 'start_time': 1524080674.721329, 'number_of_matches': 79, 'second_graph_creation_time': 1524080675.4791138, 'matching_time': 1524080675.5259705, 'greatest_constraints_time': 1524080675.5229237}
{'graph_edge_sort_time': 1524080676.2660708, 'node_count': 306, 'first_graph_creation_time': 1524080675.8813117, 'start_time': 1524080675.526316, 'number_of_matches': 4, 'second_graph_creation_time': 1524080676.2265997, 'matching_time': 1524080676.266824, 'greatest_constraints_time': 1524080676.2667062}
{'graph_edge_sort_time': 1524080676.9337184, 'node_count': 288, 'first_graph_creation_time': 1524080676.5840943, 'start_time': 1524080676.2671862, 'number_of_matches': 59, 'second_graph_creation_time': 1524080676.8973503, 'matching_time': 1524080676.936095, 'greatest_constraints_time': 1524080676.9342778}
{'graph_edge_sort_time': 1524080677.7379644, 'node_count': 322, 'first_graph_creation_time': 1524080677.3147588, 'start_time': 1524080676.9364758, 'number_of_matches': 78, 'second_graph_creation_time': 1524080677.694806, 'matching_time': 1524080677.7414846, 'greatest_constraints_time': 1524080677.738723}
{'graph_edge_sort_time': 1524080678.4792073, 'node_count': 307, 'first_graph_creation_time': 1524080678.0926533, 'start_time': 1524080677.7418466, 'number_of_matches': 73, 'second_graph_creation_time': 1524080678.438343, 'matching_time': 1524080678.4824827, 'greatest_constraints_time': 1524080678.4799008}
{'graph_edge_sort_time': 1524080679.104791, 'node_count': 279, 'first_graph_creation_time': 1524080678.7850833, 'start_time': 1524080678.482858, 'number_of_matches': 38, 'second_graph_creation_time': 1524080679.070901, 'matching_time': 1524080679.106382, 'greatest_constraints_time': 1524080679.1053264}
{'graph_edge_sort_time': 1524080679.7322607, 'node_count': 279, 'first_graph_creation_time': 1524080679.4076128, 'start_time': 1524080679.1067846, 'number_of_matches': 41, 'second_graph_creation_time': 1524080679.698354, 'matching_time': 1524080679.733889, 'greatest_constraints_time': 1524080679.7327857}
{'graph_edge_sort_time': 1524080680.4606767, 'node_count': 302, 'first_graph_creation_time': 1524080680.0817304, 'start_time': 1524080679.734247, 'number_of_matches': 53, 'second_graph_creation_time': 1524080680.4218063, 'matching_time': 1524080680.4630945, 'greatest_constraints_time': 1524080680.4612818}
{'graph_edge_sort_time': 1524080681.1204765, 'node_count': 285, 'first_graph_creation_time': 1524080680.7759237, 'start_time': 1524080680.463454, 'number_of_matches': 90, 'second_graph_creation_time': 1524080681.0833223, 'matching_time': 1524080681.1247263, 'greatest_constraints_time': 1524080681.1210978}
{'graph_edge_sort_time': 1524080681.7803838, 'node_count': 287, 'first_graph_creation_time': 1524080681.4390619, 'start_time': 1524080681.1266599, 'number_of_matches': 85, 'second_graph_creation_time': 1524080681.7434452, 'matching_time': 1524080681.7841747, 'greatest_constraints_time': 1524080681.7809088}
{'graph_edge_sort_time': 1524080682.433601, 'node_count': 285, 'first_graph_creation_time': 1524080682.0986207, 'start_time': 1524080681.7844825, 'number_of_matches': 35, 'second_graph_creation_time': 1524080682.3988872, 'matching_time': 1524080682.4350655, 'greatest_constraints_time': 1524080682.4341483}
{'graph_edge_sort_time': 1524080683.2225637, 'node_count': 318, 'first_graph_creation_time': 1524080682.8037217, 'start_time': 1524080682.4353983, 'number_of_matches': 93, 'second_graph_creation_time': 1524080683.179473, 'matching_time': 1524080683.2268548, 'greatest_constraints_time': 1524080683.2232466}
{'graph_edge_sort_time': 1524080683.8915856, 'node_count': 291, 'first_graph_creation_time': 1524080683.5519907, 'start_time': 1524080683.2272336, 'number_of_matches': 8, 'second_graph_creation_time': 1524080683.8555012, 'matching_time': 1524080683.8922808, 'greatest_constraints_time': 1524080683.892073}
{'graph_edge_sort_time': 1524080684.6529634, 'node_count': 310, 'first_graph_creation_time': 1524080684.2482219, 'start_time': 1524080683.8926315, 'number_of_matches': 105, 'second_graph_creation_time': 1524080684.6090927, 'matching_time': 1524080684.6580365, 'greatest_constraints_time': 1524080684.653645}
{'graph_edge_sort_time': 1524080685.3734908, 'node_count': 298, 'first_graph_creation_time': 1524080684.9992445, 'start_time': 1524080684.6584208, 'number_of_matches': 68, 'second_graph_creation_time': 1524080685.3344936, 'matching_time': 1524080685.376483, 'greatest_constraints_time': 1524080685.37406}
{'graph_edge_sort_time': 1524080685.9640715, 'node_count': 271, 'first_graph_creation_time': 1524080685.6605728, 'start_time': 1524080685.3768933, 'number_of_matches': 54, 'second_graph_creation_time': 1524080685.9312878, 'matching_time': 1524080685.9661403, 'greatest_constraints_time': 1524080685.9645581}
{'graph_edge_sort_time': 1524080686.5752711, 'node_count': 275, 'first_graph_creation_time': 1524080686.25933, 'start_time': 1524080685.9664848, 'number_of_matches': 69, 'second_graph_creation_time': 1524080686.5406146, 'matching_time': 1524080686.578258, 'greatest_constraints_time': 1524080686.5757978}
{'graph_edge_sort_time': 1524080687.3419328, 'node_count': 311, 'first_graph_creation_time': 1524080686.937726, 'start_time': 1524080686.5786226, 'number_of_matches': 103, 'second_graph_creation_time': 1524080687.2987072, 'matching_time': 1524080687.3471527, 'greatest_constraints_time': 1524080687.3428173}
{'graph_edge_sort_time': 1524080688.1294298, 'node_count': 321, 'first_graph_creation_time': 1524080687.7176564, 'start_time': 1524080687.347488, 'number_of_matches': 31, 'second_graph_creation_time': 1524080688.0879748, 'matching_time': 1524080688.1307783, 'greatest_constraints_time': 1524080688.1300228}
{'graph_edge_sort_time': 1524080688.7344456, 'node_count': 275, 'first_graph_creation_time': 1524080688.4275715, 'start_time': 1524080688.1311455, 'number_of_matches': 28, 'second_graph_creation_time': 1524080688.702049, 'matching_time': 1524080688.7356758, 'greatest_constraints_time': 1524080688.734987}
{'graph_edge_sort_time': 1524080689.4227085, 'node_count': 292, 'first_graph_creation_time': 1524080689.0663557, 'start_time': 1524080688.7359934, 'number_of_matches': 83, 'second_graph_creation_time': 1524080689.3841164, 'matching_time': 1524080689.426587, 'greatest_constraints_time': 1524080689.4233205}
{'graph_edge_sort_time': 1524080690.1849818, 'node_count': 311, 'first_graph_creation_time': 1524080689.7832496, 'start_time': 1524080689.426928, 'number_of_matches': 87, 'second_graph_creation_time': 1524080690.1433718, 'matching_time': 1524080690.1889374, 'greatest_constraints_time': 1524080690.1856477}
{'graph_edge_sort_time': 1524080690.8882654, 'node_count': 295, 'first_graph_creation_time': 1524080690.5229173, 'start_time': 1524080690.1892958, 'number_of_matches': 79, 'second_graph_creation_time': 1524080690.8480473, 'matching_time': 1524080690.8919444, 'greatest_constraints_time': 1524080690.8889456}
