{'greatest_constraints_time': 1524080379.020293, 'first_graph_creation_time': 1524080378.6407807, 'node_count': 299, 'graph_edge_sort_time': 1524080379.019521, 'matching_time': 1524080379.025042, 'start_time': 1524080378.3048575, 'number_of_matches': 151, 'second_graph_creation_time': 1524080378.973592}
{'greatest_constraints_time': 1524080379.838179, 'first_graph_creation_time': 1524080379.4016914, 'node_count': 322, 'graph_edge_sort_time': 1524080379.8372698, 'matching_time': 1524080379.8443894, 'start_time': 1524080379.0254066, 'number_of_matches': 173, 'second_graph_creation_time': 1524080379.785306}
{'greatest_constraints_time': 1524080380.5944357, 'first_graph_creation_time': 1524080380.1935692, 'node_count': 308, 'graph_edge_sort_time': 1524080380.5937269, 'matching_time': 1524080380.5987685, 'start_time': 1524080379.844739, 'number_of_matches': 140, 'second_graph_creation_time': 1524080380.5485609}
{'greatest_constraints_time': 1524080381.3070774, 'first_graph_creation_time': 1524080380.9342213, 'node_count': 294, 'graph_edge_sort_time': 1524080381.3062184, 'matching_time': 1524080381.314342, 'start_time': 1524080380.5991268, 'number_of_matches': 192, 'second_graph_creation_time': 1524080381.2559087}
{'greatest_constraints_time': 1524080382.122204, 'first_graph_creation_time': 1524080381.687528, 'node_count': 321, 'graph_edge_sort_time': 1524080382.1214194, 'matching_time': 1524080382.1282077, 'start_time': 1524080381.3146996, 'number_of_matches': 170, 'second_graph_creation_time': 1524080382.0701363}
{'greatest_constraints_time': 1524080382.8629904, 'first_graph_creation_time': 1524080382.4719431, 'node_count': 300, 'graph_edge_sort_time': 1524080382.8621418, 'matching_time': 1524080382.8688626, 'start_time': 1524080382.128537, 'number_of_matches': 170, 'second_graph_creation_time': 1524080382.8132129}
{'greatest_constraints_time': 1524080383.6163213, 'first_graph_creation_time': 1524080383.2212014, 'node_count': 306, 'graph_edge_sort_time': 1524080383.6155617, 'matching_time': 1524080383.6209166, 'start_time': 1524080382.8708246, 'number_of_matches': 144, 'second_graph_creation_time': 1524080383.5700886}
{'greatest_constraints_time': 1524080384.3568687, 'first_graph_creation_time': 1524080383.9676695, 'node_count': 302, 'graph_edge_sort_time': 1524080384.3559043, 'matching_time': 1524080384.3639398, 'start_time': 1524080383.6212616, 'number_of_matches': 198, 'second_graph_creation_time': 1524080384.3027935}
{'greatest_constraints_time': 1524080385.0458522, 'first_graph_creation_time': 1524080384.6880085, 'node_count': 290, 'graph_edge_sort_time': 1524080385.0452154, 'matching_time': 1524080385.0484953, 'start_time': 1524080384.3642468, 'number_of_matches': 99, 'second_graph_creation_time': 1524080385.0058608}
{'greatest_constraints_time': 1524080385.6548378, 'first_graph_creation_time': 1524080385.3381507, 'node_count': 276, 'graph_edge_sort_time': 1524080385.6541421, 'matching_time': 1524080385.6596422, 'start_time': 1524080385.0488424, 'number_of_matches': 144, 'second_graph_creation_time': 1524080385.6144361}
{'greatest_constraints_time': 1524080386.2875984, 'first_graph_creation_time': 1524080385.9578178, 'node_count': 279, 'graph_edge_sort_time': 1524080386.286808, 'matching_time': 1524080386.2934995, 'start_time': 1524080385.6600008, 'number_of_matches': 167, 'second_graph_creation_time': 1524080386.2419884}
{'greatest_constraints_time': 1524080387.1156385, 'first_graph_creation_time': 1524080386.6766844, 'node_count': 322, 'graph_edge_sort_time': 1524080387.1147854, 'matching_time': 1524080387.1202404, 'start_time': 1524080386.2938254, 'number_of_matches': 145, 'second_graph_creation_time': 1524080387.066109}
{'greatest_constraints_time': 1524080387.868397, 'first_graph_creation_time': 1524080387.469807, 'node_count': 304, 'graph_edge_sort_time': 1524080387.8676796, 'matching_time': 1524080387.8733425, 'start_time': 1524080387.120575, 'number_of_matches': 152, 'second_graph_creation_time': 1524080387.8209872}
{'greatest_constraints_time': 1524080388.6787972, 'first_graph_creation_time': 1524080388.2460613, 'node_count': 321, 'graph_edge_sort_time': 1524080388.6777077, 'matching_time': 1524080388.6871254, 'start_time': 1524080387.875393, 'number_of_matches': 216, 'second_graph_creation_time': 1524080388.618586}
{'greatest_constraints_time': 1524080389.4288144, 'first_graph_creation_time': 1524080389.0345805, 'node_count': 304, 'graph_edge_sort_time': 1524080389.4279776, 'matching_time': 1524080389.4351325, 'start_time': 1524080388.6874967, 'number_of_matches': 177, 'second_graph_creation_time': 1524080389.378597}
{'greatest_constraints_time': 1524080390.1264322, 'first_graph_creation_time': 1524080389.7644567, 'node_count': 291, 'graph_edge_sort_time': 1524080390.1256092, 'matching_time': 1524080390.1320739, 'start_time': 1524080389.4355206, 'number_of_matches': 172, 'second_graph_creation_time': 1524080390.077518}
{'greatest_constraints_time': 1524080390.9087002, 'first_graph_creation_time': 1524080390.4940193, 'node_count': 314, 'graph_edge_sort_time': 1524080390.9079585, 'matching_time': 1524080390.9126306, 'start_time': 1524080390.132409, 'number_of_matches': 129, 'second_graph_creation_time': 1524080390.8622158}
{'greatest_constraints_time': 1524080391.741346, 'first_graph_creation_time': 1524080391.2999594, 'node_count': 328, 'graph_edge_sort_time': 1524080391.7404747, 'matching_time': 1524080391.745962, 'start_time': 1524080390.9129825, 'number_of_matches': 146, 'second_graph_creation_time': 1524080391.69153}
{'greatest_constraints_time': 1524080392.5036652, 'first_graph_creation_time': 1524080392.1004605, 'node_count': 307, 'graph_edge_sort_time': 1524080392.5028665, 'matching_time': 1524080392.5081518, 'start_time': 1524080391.7463028, 'number_of_matches': 135, 'second_graph_creation_time': 1524080392.4573028}
{'greatest_constraints_time': 1524080393.226065, 'first_graph_creation_time': 1524080392.846911, 'node_count': 293, 'graph_edge_sort_time': 1524080393.2253346, 'matching_time': 1524080393.2313716, 'start_time': 1524080392.5084996, 'number_of_matches': 163, 'second_graph_creation_time': 1524080393.1780822}
{'greatest_constraints_time': 1524080394.0449226, 'first_graph_creation_time': 1524080393.6078765, 'node_count': 329, 'graph_edge_sort_time': 1524080394.0440552, 'matching_time': 1524080394.0510917, 'start_time': 1524080393.2331688, 'number_of_matches': 178, 'second_graph_creation_time': 1524080393.9915254}
{'greatest_constraints_time': 1524080394.791903, 'first_graph_creation_time': 1524080394.3984513, 'node_count': 303, 'graph_edge_sort_time': 1524080394.7911637, 'matching_time': 1524080394.7950943, 'start_time': 1524080394.0514379, 'number_of_matches': 109, 'second_graph_creation_time': 1524080394.7487502}
{'greatest_constraints_time': 1524080395.6080875, 'first_graph_creation_time': 1524080395.1711988, 'node_count': 322, 'graph_edge_sort_time': 1524080395.6071553, 'matching_time': 1524080395.6155257, 'start_time': 1524080394.7954257, 'number_of_matches': 200, 'second_graph_creation_time': 1524080395.549832}
{'greatest_constraints_time': 1524080396.393804, 'first_graph_creation_time': 1524080395.9799442, 'node_count': 311, 'graph_edge_sort_time': 1524080396.392955, 'matching_time': 1524080396.4001288, 'start_time': 1524080395.6158555, 'number_of_matches': 177, 'second_graph_creation_time': 1524080396.3423464}
{'greatest_constraints_time': 1524080397.1617067, 'first_graph_creation_time': 1524080396.7572012, 'node_count': 308, 'graph_edge_sort_time': 1524080397.1608696, 'matching_time': 1524080397.1681461, 'start_time': 1524080396.400518, 'number_of_matches': 184, 'second_graph_creation_time': 1524080397.1084332}
{'greatest_constraints_time': 1524080397.826001, 'first_graph_creation_time': 1524080397.4795883, 'node_count': 284, 'graph_edge_sort_time': 1524080397.8252132, 'matching_time': 1524080397.8313546, 'start_time': 1524080397.1684914, 'number_of_matches': 159, 'second_graph_creation_time': 1524080397.780923}
{'greatest_constraints_time': 1524080398.657417, 'first_graph_creation_time': 1524080398.2147899, 'node_count': 325, 'graph_edge_sort_time': 1524080398.6564755, 'matching_time': 1524080398.6641185, 'start_time': 1524080397.831728, 'number_of_matches': 194, 'second_graph_creation_time': 1524080398.601399}
{'greatest_constraints_time': 1524080399.3381615, 'first_graph_creation_time': 1524080398.9840977, 'node_count': 286, 'graph_edge_sort_time': 1524080399.3374484, 'matching_time': 1524080399.3432863, 'start_time': 1524080398.664467, 'number_of_matches': 155, 'second_graph_creation_time': 1524080399.292501}
{'greatest_constraints_time': 1524080400.0881078, 'first_graph_creation_time': 1524080399.6939764, 'node_count': 301, 'graph_edge_sort_time': 1524080400.0870848, 'matching_time': 1524080400.0950763, 'start_time': 1524080399.3436575, 'number_of_matches': 183, 'second_graph_creation_time': 1524080400.034587}
{'greatest_constraints_time': 1524080400.8327458, 'first_graph_creation_time': 1524080400.443141, 'node_count': 300, 'graph_edge_sort_time': 1524080400.8320944, 'matching_time': 1524080400.8374293, 'start_time': 1524080400.0954463, 'number_of_matches': 139, 'second_graph_creation_time': 1524080400.7872803}
{'greatest_constraints_time': 1524080401.5938244, 'first_graph_creation_time': 1524080401.1898363, 'node_count': 304, 'graph_edge_sort_time': 1524080401.5930293, 'matching_time': 1524080401.599678, 'start_time': 1524080400.83777, 'number_of_matches': 175, 'second_graph_creation_time': 1524080401.5416842}
{'greatest_constraints_time': 1524080402.4471948, 'first_graph_creation_time': 1524080401.9863608, 'node_count': 327, 'graph_edge_sort_time': 1524080402.4462886, 'matching_time': 1524080402.4547286, 'start_time': 1524080401.6000497, 'number_of_matches': 200, 'second_graph_creation_time': 1524080402.3868384}
{'greatest_constraints_time': 1524080403.220759, 'first_graph_creation_time': 1524080402.8098216, 'node_count': 307, 'graph_edge_sort_time': 1524080403.2198687, 'matching_time': 1524080403.2281103, 'start_time': 1524080402.455088, 'number_of_matches': 202, 'second_graph_creation_time': 1524080403.159689}
