{'first_graph_creation_time': 1524078761.4818854, 'node_count': 205, 'start_time': 1524078761.4057994, 'number_of_matches': 35, 'matching_time': 1524078761.5603604, 'second_graph_creation_time': 1524078761.548167, 'graph_edge_sort_time': 1524078761.5594463, 'greatest_constraints_time': 1524078761.5597467}
{'first_graph_creation_time': 1524078761.6450045, 'node_count': 219, 'start_time': 1524078761.5606894, 'number_of_matches': 17, 'matching_time': 1524078761.7288184, 'second_graph_creation_time': 1524078761.7167504, 'graph_edge_sort_time': 1524078761.7282293, 'greatest_constraints_time': 1524078761.7285292}
{'first_graph_creation_time': 1524078761.8017828, 'node_count': 191, 'start_time': 1524078761.7291458, 'number_of_matches': 21, 'matching_time': 1524078761.872316, 'second_graph_creation_time': 1524078761.8620868, 'graph_edge_sort_time': 1524078761.8717084, 'greatest_constraints_time': 1524078761.8719854}
{'first_graph_creation_time': 1524078761.9405723, 'node_count': 188, 'start_time': 1524078761.872617, 'number_of_matches': 50, 'matching_time': 1524078762.0117416, 'second_graph_creation_time': 1524078762.0008893, 'graph_edge_sort_time': 1524078762.0105157, 'greatest_constraints_time': 1524078762.0107915}
{'first_graph_creation_time': 1524078762.083728, 'node_count': 196, 'start_time': 1524078762.0120838, 'number_of_matches': 44, 'matching_time': 1524078762.1558511, 'second_graph_creation_time': 1524078762.1442, 'graph_edge_sort_time': 1524078762.154607, 'greatest_constraints_time': 1524078762.1549022}
{'first_graph_creation_time': 1524078762.2316086, 'node_count': 203, 'start_time': 1524078762.1562245, 'number_of_matches': 29, 'matching_time': 1524078762.3093154, 'second_graph_creation_time': 1524078762.2978668, 'graph_edge_sort_time': 1524078762.308374, 'greatest_constraints_time': 1524078762.3088312}
{'first_graph_creation_time': 1524078762.380133, 'node_count': 189, 'start_time': 1524078762.3096166, 'number_of_matches': 47, 'matching_time': 1524078762.4522195, 'second_graph_creation_time': 1524078762.4409323, 'graph_edge_sort_time': 1524078762.4509885, 'greatest_constraints_time': 1524078762.4512808}
{'first_graph_creation_time': 1524078762.5346391, 'node_count': 216, 'start_time': 1524078762.4525793, 'number_of_matches': 46, 'matching_time': 1524078762.6188326, 'second_graph_creation_time': 1524078762.6057217, 'graph_edge_sort_time': 1524078762.6176028, 'greatest_constraints_time': 1524078762.6179066}
{'first_graph_creation_time': 1524078762.700886, 'node_count': 216, 'start_time': 1524078762.61922, 'number_of_matches': 60, 'matching_time': 1524078762.7862813, 'second_graph_creation_time': 1524078762.772524, 'graph_edge_sort_time': 1524078762.7847033, 'greatest_constraints_time': 1524078762.7850401}
{'first_graph_creation_time': 1524078762.8593981, 'node_count': 194, 'start_time': 1524078762.7866075, 'number_of_matches': 19, 'matching_time': 1524078762.9323957, 'second_graph_creation_time': 1524078762.9221659, 'graph_edge_sort_time': 1524078762.9318683, 'greatest_constraints_time': 1524078762.9321203}
{'first_graph_creation_time': 1524078763.0087562, 'node_count': 204, 'start_time': 1524078762.9328115, 'number_of_matches': 61, 'matching_time': 1524078763.086777, 'second_graph_creation_time': 1524078763.0738773, 'graph_edge_sort_time': 1524078763.0851693, 'greatest_constraints_time': 1524078763.0854673}
{'first_graph_creation_time': 1524078763.1555996, 'node_count': 188, 'start_time': 1524078763.0871289, 'number_of_matches': 29, 'matching_time': 1524078763.222686, 'second_graph_creation_time': 1524078763.2124972, 'graph_edge_sort_time': 1524078763.2219381, 'greatest_constraints_time': 1524078763.2221954}
{'first_graph_creation_time': 1524078763.3008516, 'node_count': 211, 'start_time': 1524078763.223032, 'number_of_matches': 40, 'matching_time': 1524078763.3807592, 'second_graph_creation_time': 1524078763.3688695, 'graph_edge_sort_time': 1524078763.3797092, 'greatest_constraints_time': 1524078763.3800201}
{'first_graph_creation_time': 1524078763.4564397, 'node_count': 203, 'start_time': 1524078763.3811204, 'number_of_matches': 23, 'matching_time': 1524078763.5326374, 'second_graph_creation_time': 1524078763.5205128, 'graph_edge_sort_time': 1524078763.5317752, 'greatest_constraints_time': 1524078763.5320697}
{'first_graph_creation_time': 1524078763.6112785, 'node_count': 205, 'start_time': 1524078763.5330145, 'number_of_matches': 56, 'matching_time': 1524078763.6915667, 'second_graph_creation_time': 1524078763.6781938, 'graph_edge_sort_time': 1524078763.6900957, 'greatest_constraints_time': 1524078763.6904297}
{'first_graph_creation_time': 1524078763.772355, 'node_count': 212, 'start_time': 1524078763.691937, 'number_of_matches': 33, 'matching_time': 1524078763.854611, 'second_graph_creation_time': 1524078763.8425102, 'graph_edge_sort_time': 1524078763.8537278, 'greatest_constraints_time': 1524078763.854034}
{'first_graph_creation_time': 1524078763.931798, 'node_count': 208, 'start_time': 1524078763.8549397, 'number_of_matches': 42, 'matching_time': 1524078764.0122437, 'second_graph_creation_time': 1524078763.9996097, 'graph_edge_sort_time': 1524078764.0111465, 'greatest_constraints_time': 1524078764.0114405}
{'first_graph_creation_time': 1524078764.0917025, 'node_count': 213, 'start_time': 1524078764.0126343, 'number_of_matches': 15, 'matching_time': 1524078764.1715229, 'second_graph_creation_time': 1524078764.1599848, 'graph_edge_sort_time': 1524078764.170992, 'greatest_constraints_time': 1524078764.1712897}
{'first_graph_creation_time': 1524078764.2537012, 'node_count': 218, 'start_time': 1524078764.1737034, 'number_of_matches': 7, 'matching_time': 1524078764.336795, 'second_graph_creation_time': 1524078764.325177, 'graph_edge_sort_time': 1524078764.3364158, 'greatest_constraints_time': 1524078764.3366826}
