{'start_time': 1524079028.7981095, 'matching_time': 1524079029.0149415, 'first_graph_creation_time': 1524079028.9063394, 'node_count': 180, 'greatest_constraints_time': 1524079029.0125742, 'graph_edge_sort_time': 1524079029.012242, 'second_graph_creation_time': 1524079028.9965587, 'number_of_matches': 71}
{'start_time': 1524079029.0152762, 'matching_time': 1524079029.3112602, 'first_graph_creation_time': 1524079029.1585367, 'node_count': 215, 'greatest_constraints_time': 1524079029.3065848, 'graph_edge_sort_time': 1524079029.3061612, 'second_graph_creation_time': 1524079029.2840822, 'number_of_matches': 120}
{'start_time': 1524079029.3116136, 'matching_time': 1524079029.54158, 'first_graph_creation_time': 1524079029.424442, 'node_count': 184, 'greatest_constraints_time': 1524079029.537196, 'graph_edge_sort_time': 1524079029.5367675, 'second_graph_creation_time': 1524079029.516951, 'number_of_matches': 113}
{'start_time': 1524079029.5419323, 'matching_time': 1524079029.8315694, 'first_graph_creation_time': 1524079029.6825082, 'node_count': 214, 'greatest_constraints_time': 1524079029.828937, 'graph_edge_sort_time': 1524079029.8285758, 'second_graph_creation_time': 1524079029.8093038, 'number_of_matches': 74}
{'start_time': 1524079029.8319197, 'matching_time': 1524079030.0755155, 'first_graph_creation_time': 1524079029.9479566, 'node_count': 188, 'greatest_constraints_time': 1524079030.0702052, 'graph_edge_sort_time': 1524079030.069774, 'second_graph_creation_time': 1524079030.0485556, 'number_of_matches': 128}
{'start_time': 1524079030.0758727, 'matching_time': 1524079030.3732514, 'first_graph_creation_time': 1524079030.2186568, 'node_count': 214, 'greatest_constraints_time': 1524079030.3667777, 'graph_edge_sort_time': 1524079030.366199, 'second_graph_creation_time': 1524079030.3413062, 'number_of_matches': 147}
{'start_time': 1524079030.3736184, 'matching_time': 1524079030.6217656, 'first_graph_creation_time': 1524079030.496349, 'node_count': 189, 'greatest_constraints_time': 1524079030.6198218, 'graph_edge_sort_time': 1524079030.6194575, 'second_graph_creation_time': 1524079030.6028035, 'number_of_matches': 68}
{'start_time': 1524079030.6221035, 'matching_time': 1524079030.8681421, 'first_graph_creation_time': 1524079030.7416503, 'node_count': 189, 'greatest_constraints_time': 1524079030.864663, 'graph_edge_sort_time': 1524079030.8642983, 'second_graph_creation_time': 1524079030.8454869, 'number_of_matches': 97}
{'start_time': 1524079030.8684976, 'matching_time': 1524079031.1486065, 'first_graph_creation_time': 1524079031.004847, 'node_count': 205, 'greatest_constraints_time': 1524079031.1454206, 'graph_edge_sort_time': 1524079031.1450305, 'second_graph_creation_time': 1524079031.1256096, 'number_of_matches': 89}
{'start_time': 1524079031.1489515, 'matching_time': 1524079031.3853989, 'first_graph_creation_time': 1524079031.2643375, 'node_count': 188, 'greatest_constraints_time': 1524079031.3821404, 'graph_edge_sort_time': 1524079031.3817587, 'second_graph_creation_time': 1524079031.363006, 'number_of_matches': 93}
{'start_time': 1524079031.3874536, 'matching_time': 1524079031.6942902, 'first_graph_creation_time': 1524079031.5251307, 'node_count': 200, 'greatest_constraints_time': 1524079031.689534, 'graph_edge_sort_time': 1524079031.6891124, 'second_graph_creation_time': 1524079031.6673753, 'number_of_matches': 116}
{'start_time': 1524079031.69458, 'matching_time': 1524079031.9434977, 'first_graph_creation_time': 1524079031.8182385, 'node_count': 193, 'greatest_constraints_time': 1524079031.940373, 'graph_edge_sort_time': 1524079031.94003, 'second_graph_creation_time': 1524079031.9215305, 'number_of_matches': 92}
{'start_time': 1524079031.9438221, 'matching_time': 1524079032.1907146, 'first_graph_creation_time': 1524079032.0666792, 'node_count': 194, 'greatest_constraints_time': 1524079032.1878016, 'graph_edge_sort_time': 1524079032.187425, 'second_graph_creation_time': 1524079032.1697342, 'number_of_matches': 88}
{'start_time': 1524079032.1910405, 'matching_time': 1524079032.420927, 'first_graph_creation_time': 1524079032.303553, 'node_count': 186, 'greatest_constraints_time': 1524079032.4174058, 'graph_edge_sort_time': 1524079032.4169548, 'second_graph_creation_time': 1524079032.3987021, 'number_of_matches': 99}
{'start_time': 1524079032.4212594, 'matching_time': 1524079032.7146554, 'first_graph_creation_time': 1524079032.5642743, 'node_count': 211, 'greatest_constraints_time': 1524079032.7118053, 'graph_edge_sort_time': 1524079032.7114193, 'second_graph_creation_time': 1524079032.6914942, 'number_of_matches': 86}
{'start_time': 1524079032.714995, 'matching_time': 1524079033.0256524, 'first_graph_creation_time': 1524079032.864004, 'node_count': 220, 'greatest_constraints_time': 1524079033.0193768, 'graph_edge_sort_time': 1524079033.0188766, 'second_graph_creation_time': 1524079032.993479, 'number_of_matches': 144}
{'start_time': 1524079033.0259852, 'matching_time': 1524079033.2487001, 'first_graph_creation_time': 1524079033.135317, 'node_count': 183, 'greatest_constraints_time': 1524079033.245801, 'graph_edge_sort_time': 1524079033.2454078, 'second_graph_creation_time': 1524079033.2286112, 'number_of_matches': 85}
{'start_time': 1524079033.2491164, 'matching_time': 1524079033.4788432, 'first_graph_creation_time': 1524079033.3618462, 'node_count': 185, 'greatest_constraints_time': 1524079033.4753902, 'graph_edge_sort_time': 1524079033.4750214, 'second_graph_creation_time': 1524079033.4569304, 'number_of_matches': 97}
{'start_time': 1524079033.4792721, 'matching_time': 1524079033.7467802, 'first_graph_creation_time': 1524079033.6119113, 'node_count': 198, 'greatest_constraints_time': 1524079033.7429829, 'graph_edge_sort_time': 1524079033.7425787, 'second_graph_creation_time': 1524079033.7229958, 'number_of_matches': 100}
{'start_time': 1524079033.7471266, 'matching_time': 1524079033.9644842, 'first_graph_creation_time': 1524079033.8566062, 'node_count': 181, 'greatest_constraints_time': 1524079033.962819, 'graph_edge_sort_time': 1524079033.9624562, 'second_graph_creation_time': 1524079033.9470081, 'number_of_matches': 61}
{'start_time': 1524079033.964857, 'matching_time': 1524079034.1914659, 'first_graph_creation_time': 1524079034.0762558, 'node_count': 183, 'greatest_constraints_time': 1524079034.1867952, 'graph_edge_sort_time': 1524079034.1864157, 'second_graph_creation_time': 1524079034.1669364, 'number_of_matches': 114}
