{'greatest_constraints_time': 1524075990.6258926, 'node_count': 104, 'graph_edge_sort_time': 1524075990.6255195, 'second_graph_creation_time': 1524075990.6216354, 'number_of_matches': 104, 'first_graph_creation_time': 1524075990.6137195, 'matching_time': 1524075990.6277506, 'start_time': 1524075990.6032543}
{'greatest_constraints_time': 1524075990.6478872, 'node_count': 108, 'graph_edge_sort_time': 1524075990.6475506, 'second_graph_creation_time': 1524075990.643831, 'number_of_matches': 108, 'first_graph_creation_time': 1524075990.6383314, 'matching_time': 1524075990.6496875, 'start_time': 1524075990.6281748}
{'greatest_constraints_time': 1524075990.6691852, 'node_count': 92, 'graph_edge_sort_time': 1524075990.6688344, 'second_graph_creation_time': 1524075990.665288, 'number_of_matches': 94, 'first_graph_creation_time': 1524075990.6601174, 'matching_time': 1524075990.6707926, 'start_time': 1524075990.6502128}
{'greatest_constraints_time': 1524075990.6933022, 'node_count': 103, 'graph_edge_sort_time': 1524075990.6928945, 'second_graph_creation_time': 1524075990.6889117, 'number_of_matches': 103, 'first_graph_creation_time': 1524075990.6824212, 'matching_time': 1524075990.6951842, 'start_time': 1524075990.6712165}
{'greatest_constraints_time': 1524075990.7094696, 'node_count': 95, 'graph_edge_sort_time': 1524075990.7092996, 'second_graph_creation_time': 1524075990.7075315, 'number_of_matches': 95, 'first_graph_creation_time': 1524075990.7048657, 'matching_time': 1524075990.710312, 'start_time': 1524075990.6957417}
{'greatest_constraints_time': 1524075990.722242, 'node_count': 98, 'graph_edge_sort_time': 1524075990.7219932, 'second_graph_creation_time': 1524075990.7194154, 'number_of_matches': 98, 'first_graph_creation_time': 1524075990.7162771, 'matching_time': 1524075990.7230208, 'start_time': 1524075990.7106702}
{'greatest_constraints_time': 1524075990.734403, 'node_count': 105, 'graph_edge_sort_time': 1524075990.7342105, 'second_graph_creation_time': 1524075990.732134, 'number_of_matches': 105, 'first_graph_creation_time': 1524075990.7288399, 'matching_time': 1524075990.7357066, 'start_time': 1524075990.7233994}
{'greatest_constraints_time': 1524075990.747394, 'node_count': 100, 'graph_edge_sort_time': 1524075990.7471957, 'second_graph_creation_time': 1524075990.7451591, 'number_of_matches': 101, 'first_graph_creation_time': 1524075990.7424905, 'matching_time': 1524075990.7484918, 'start_time': 1524075990.7361197}
{'greatest_constraints_time': 1524075990.761501, 'node_count': 102, 'graph_edge_sort_time': 1524075990.7613058, 'second_graph_creation_time': 1524075990.7593148, 'number_of_matches': 102, 'first_graph_creation_time': 1524075990.7564077, 'matching_time': 1524075990.762515, 'start_time': 1524075990.7488773}
{'greatest_constraints_time': 1524075990.7731555, 'node_count': 98, 'graph_edge_sort_time': 1524075990.7729824, 'second_graph_creation_time': 1524075990.771106, 'number_of_matches': 98, 'first_graph_creation_time': 1524075990.7684028, 'matching_time': 1524075990.774023, 'start_time': 1524075990.7627838}
