{'first_graph_creation_time': 1524078395.8233004, 'second_graph_creation_time': 1524078395.838618, 'number_of_matches': 212, 'greatest_constraints_time': 1524078395.846449, 'matching_time': 1524078395.848447, 'start_time': 1524078395.7979298, 'graph_edge_sort_time': 1524078395.845996, 'node_count': 212}
{'first_graph_creation_time': 1524078395.8684764, 'second_graph_creation_time': 1524078395.8800068, 'number_of_matches': 181, 'greatest_constraints_time': 1524078395.886932, 'matching_time': 1524078395.8886523, 'start_time': 1524078395.8487248, 'graph_edge_sort_time': 1524078395.8865926, 'node_count': 181}
{'first_graph_creation_time': 1524078395.9091628, 'second_graph_creation_time': 1524078395.9214232, 'number_of_matches': 182, 'greatest_constraints_time': 1524078395.928248, 'matching_time': 1524078395.9300244, 'start_time': 1524078395.8888876, 'graph_edge_sort_time': 1524078395.9277883, 'node_count': 182}
{'first_graph_creation_time': 1524078395.9550092, 'second_graph_creation_time': 1524078395.9692636, 'number_of_matches': 220, 'greatest_constraints_time': 1524078395.9775965, 'matching_time': 1524078395.9794335, 'start_time': 1524078395.9303632, 'graph_edge_sort_time': 1524078395.9771798, 'node_count': 220}
{'first_graph_creation_time': 1524078396.0060647, 'second_graph_creation_time': 1524078396.0212562, 'number_of_matches': 212, 'greatest_constraints_time': 1524078396.0292037, 'matching_time': 1524078396.031133, 'start_time': 1524078395.9797122, 'graph_edge_sort_time': 1524078396.028787, 'node_count': 212}
{'first_graph_creation_time': 1524078396.0523293, 'second_graph_creation_time': 1524078396.0638704, 'number_of_matches': 180, 'greatest_constraints_time': 1524078396.0708656, 'matching_time': 1524078396.072504, 'start_time': 1524078396.031628, 'graph_edge_sort_time': 1524078396.0704908, 'node_count': 180}
{'first_graph_creation_time': 1524078396.0949957, 'second_graph_creation_time': 1524078396.108106, 'number_of_matches': 188, 'greatest_constraints_time': 1524078396.1151948, 'matching_time': 1524078396.1170614, 'start_time': 1524078396.0729194, 'graph_edge_sort_time': 1524078396.1147742, 'node_count': 188}
{'first_graph_creation_time': 1524078396.1394465, 'second_graph_creation_time': 1524078396.1527512, 'number_of_matches': 210, 'greatest_constraints_time': 1524078396.1602218, 'matching_time': 1524078396.1620493, 'start_time': 1524078396.1174245, 'graph_edge_sort_time': 1524078396.159776, 'node_count': 209}
{'first_graph_creation_time': 1524078396.185801, 'second_graph_creation_time': 1524078396.1998403, 'number_of_matches': 203, 'greatest_constraints_time': 1524078396.207878, 'matching_time': 1524078396.209701, 'start_time': 1524078396.1622858, 'graph_edge_sort_time': 1524078396.2074745, 'node_count': 203}
{'first_graph_creation_time': 1524078396.2329614, 'second_graph_creation_time': 1524078396.2474453, 'number_of_matches': 191, 'greatest_constraints_time': 1524078396.2546744, 'matching_time': 1524078396.2562876, 'start_time': 1524078396.2099752, 'graph_edge_sort_time': 1524078396.254323, 'node_count': 191}
{'first_graph_creation_time': 1524078396.2809763, 'second_graph_creation_time': 1524078396.296154, 'number_of_matches': 195, 'greatest_constraints_time': 1524078396.304611, 'matching_time': 1524078396.3065856, 'start_time': 1524078396.2566636, 'graph_edge_sort_time': 1524078396.3041127, 'node_count': 195}
{'first_graph_creation_time': 1524078396.326549, 'second_graph_creation_time': 1524078396.3379843, 'number_of_matches': 184, 'greatest_constraints_time': 1524078396.3444014, 'matching_time': 1524078396.3460867, 'start_time': 1524078396.3069403, 'graph_edge_sort_time': 1524078396.3440201, 'node_count': 184}
{'first_graph_creation_time': 1524078396.3680828, 'second_graph_creation_time': 1524078396.3810074, 'number_of_matches': 182, 'greatest_constraints_time': 1524078396.3884578, 'matching_time': 1524078396.3902571, 'start_time': 1524078396.3463612, 'graph_edge_sort_time': 1524078396.3880925, 'node_count': 182}
{'first_graph_creation_time': 1524078396.4139125, 'second_graph_creation_time': 1524078396.4282706, 'number_of_matches': 195, 'greatest_constraints_time': 1524078396.4372642, 'matching_time': 1524078396.439227, 'start_time': 1524078396.3905222, 'graph_edge_sort_time': 1524078396.4367967, 'node_count': 195}
{'first_graph_creation_time': 1524078396.466119, 'second_graph_creation_time': 1524078396.4826875, 'number_of_matches': 215, 'greatest_constraints_time': 1524078396.4915557, 'matching_time': 1524078396.4936216, 'start_time': 1524078396.4395187, 'graph_edge_sort_time': 1524078396.491103, 'node_count': 215}
