{'second_graph_creation_time': 1524076399.4523573, 'node_count': 93, 'greatest_constraints_time': 1524076399.4556227, 'number_of_matches': 23, 'graph_edge_sort_time': 1524076399.4555054, 'first_graph_creation_time': 1524076399.43598, 'start_time': 1524076399.412325, 'matching_time': 1524076399.4558625}
{'second_graph_creation_time': 1524076399.5043378, 'node_count': 106, 'greatest_constraints_time': 1524076399.5080814, 'number_of_matches': 5, 'graph_edge_sort_time': 1524076399.5079618, 'first_graph_creation_time': 1524076399.484458, 'start_time': 1524076399.4561512, 'matching_time': 1524076399.5081284}
{'second_graph_creation_time': 1524076399.5525506, 'node_count': 95, 'greatest_constraints_time': 1524076399.5559325, 'number_of_matches': 20, 'graph_edge_sort_time': 1524076399.5558121, 'first_graph_creation_time': 1524076399.53469, 'start_time': 1524076399.5083742, 'matching_time': 1524076399.5561218}
{'second_graph_creation_time': 1524076399.6040187, 'node_count': 98, 'greatest_constraints_time': 1524076399.6076775, 'number_of_matches': 18, 'graph_edge_sort_time': 1524076399.6075637, 'first_graph_creation_time': 1524076399.5833497, 'start_time': 1524076399.5564091, 'matching_time': 1524076399.60783}
{'second_graph_creation_time': 1524076399.6568305, 'node_count': 104, 'greatest_constraints_time': 1524076399.6606607, 'number_of_matches': 18, 'graph_edge_sort_time': 1524076399.6605263, 'first_graph_creation_time': 1524076399.6359434, 'start_time': 1524076399.6081405, 'matching_time': 1524076399.6608217}
{'second_graph_creation_time': 1524076399.7121046, 'node_count': 106, 'greatest_constraints_time': 1524076399.7164772, 'number_of_matches': 9, 'graph_edge_sort_time': 1524076399.7163575, 'first_graph_creation_time': 1524076399.6906083, 'start_time': 1524076399.6611302, 'matching_time': 1524076399.716547}
{'second_graph_creation_time': 1524076399.765264, 'node_count': 97, 'greatest_constraints_time': 1524076399.7692351, 'number_of_matches': 15, 'graph_edge_sort_time': 1524076399.7691238, 'first_graph_creation_time': 1524076399.7452247, 'start_time': 1524076399.7169964, 'matching_time': 1524076399.769358}
{'second_graph_creation_time': 1524076399.823905, 'node_count': 110, 'greatest_constraints_time': 1524076399.828408, 'number_of_matches': 35, 'graph_edge_sort_time': 1524076399.8282604, 'first_graph_creation_time': 1524076399.8014112, 'start_time': 1524076399.7697704, 'matching_time': 1524076399.8287747}
{'second_graph_creation_time': 1524076399.8685281, 'node_count': 92, 'greatest_constraints_time': 1524076399.871603, 'number_of_matches': 3, 'graph_edge_sort_time': 1524076399.8715014, 'first_graph_creation_time': 1524076399.852322, 'start_time': 1524076399.8290374, 'matching_time': 1524076399.8716357}
{'second_graph_creation_time': 1524076399.9189491, 'node_count': 99, 'greatest_constraints_time': 1524076399.9228394, 'number_of_matches': 15, 'graph_edge_sort_time': 1524076399.9227188, 'first_graph_creation_time': 1524076399.8988776, 'start_time': 1524076399.8718703, 'matching_time': 1524076399.922971}
{'second_graph_creation_time': 1524076399.9729786, 'node_count': 104, 'greatest_constraints_time': 1524076399.9769747, 'number_of_matches': 22, 'graph_edge_sort_time': 1524076399.976842, 'first_graph_creation_time': 1524076399.9523075, 'start_time': 1524076399.9233785, 'matching_time': 1524076399.9771678}
{'second_graph_creation_time': 1524076400.0226092, 'node_count': 97, 'greatest_constraints_time': 1524076400.0262265, 'number_of_matches': 18, 'graph_edge_sort_time': 1524076400.0261073, 'first_graph_creation_time': 1524076400.0040586, 'start_time': 1524076399.977571, 'matching_time': 1524076400.0263824}
