{'matching_time': 1524078584.381017, 'first_graph_creation_time': 1524078584.2898352, 'second_graph_creation_time': 1524078584.3486464, 'number_of_matches': 220, 'graph_edge_sort_time': 1524078584.3714478, 'start_time': 1524078584.206222, 'greatest_constraints_time': 1524078584.3720129, 'node_count': 220}
{'matching_time': 1524078584.539811, 'first_graph_creation_time': 1524078584.4574783, 'second_graph_creation_time': 1524078584.510472, 'number_of_matches': 206, 'graph_edge_sort_time': 1524078584.5308497, 'start_time': 1524078584.3813384, 'greatest_constraints_time': 1524078584.5313869, 'node_count': 206}
{'matching_time': 1524078584.7124827, 'first_graph_creation_time': 1524078584.6152458, 'second_graph_creation_time': 1524078584.6628962, 'number_of_matches': 191, 'graph_edge_sort_time': 1524078584.6814828, 'start_time': 1524078584.540143, 'greatest_constraints_time': 1524078584.6819193, 'node_count': 191}
{'matching_time': 1524078584.8579993, 'first_graph_creation_time': 1524078584.7828221, 'second_graph_creation_time': 1524078584.8310885, 'number_of_matches': 191, 'graph_edge_sort_time': 1524078584.8500836, 'start_time': 1524078584.7128356, 'greatest_constraints_time': 1524078584.8505673, 'node_count': 191}
{'matching_time': 1524078585.0238922, 'first_graph_creation_time': 1524078584.9365578, 'second_graph_creation_time': 1524078584.9931655, 'number_of_matches': 205, 'graph_edge_sort_time': 1524078585.0142257, 'start_time': 1524078584.858373, 'greatest_constraints_time': 1524078585.0148344, 'node_count': 205}
{'matching_time': 1524078585.1816964, 'first_graph_creation_time': 1524078585.0996366, 'second_graph_creation_time': 1524078585.1517231, 'number_of_matches': 203, 'graph_edge_sort_time': 1524078585.1725469, 'start_time': 1524078585.0242262, 'greatest_constraints_time': 1524078585.1731262, 'node_count': 203}
{'matching_time': 1524078585.3392985, 'first_graph_creation_time': 1524078585.2570238, 'second_graph_creation_time': 1524078585.3099759, 'number_of_matches': 201, 'graph_edge_sort_time': 1524078585.330891, 'start_time': 1524078585.1820304, 'greatest_constraints_time': 1524078585.3314128, 'node_count': 201}
{'matching_time': 1524078585.4954805, 'first_graph_creation_time': 1524078585.4137611, 'second_graph_creation_time': 1524078585.4662325, 'number_of_matches': 202, 'graph_edge_sort_time': 1524078585.4871647, 'start_time': 1524078585.3396854, 'greatest_constraints_time': 1524078585.4876494, 'node_count': 202}
{'matching_time': 1524078585.660677, 'first_graph_creation_time': 1524078585.5766785, 'second_graph_creation_time': 1524078585.6311388, 'number_of_matches': 206, 'graph_edge_sort_time': 1524078585.6521616, 'start_time': 1524078585.4958022, 'greatest_constraints_time': 1524078585.6526947, 'node_count': 206}
{'matching_time': 1524078585.80827, 'first_graph_creation_time': 1524078585.731736, 'second_graph_creation_time': 1524078585.7807932, 'number_of_matches': 193, 'graph_edge_sort_time': 1524078585.7998695, 'start_time': 1524078585.6610045, 'greatest_constraints_time': 1524078585.8003855, 'node_count': 193}
{'matching_time': 1524078585.9584107, 'first_graph_creation_time': 1524078585.8802884, 'second_graph_creation_time': 1524078585.930912, 'number_of_matches': 196, 'graph_edge_sort_time': 1524078585.9504864, 'start_time': 1524078585.8086002, 'greatest_constraints_time': 1524078585.9509346, 'node_count': 196}
