{'first_graph_creation_time': 1524079282.7072217, 'matching_time': 1524079282.7725704, 'greatest_constraints_time': 1524079282.7696662, 'number_of_matches': 186, 'second_graph_creation_time': 1524079282.757797, 'start_time': 1524079282.6517413, 'graph_edge_sort_time': 1524079282.7691193, 'node_count': 296}
{'first_graph_creation_time': 1524079282.8311977, 'matching_time': 1524079282.9022367, 'greatest_constraints_time': 1524079282.8998287, 'number_of_matches': 149, 'second_graph_creation_time': 1524079282.8879693, 'start_time': 1524079282.7728987, 'graph_edge_sort_time': 1524079282.899347, 'node_count': 295}
{'first_graph_creation_time': 1524079282.9651997, 'matching_time': 1524079283.0395215, 'greatest_constraints_time': 1524079283.0370796, 'number_of_matches': 148, 'second_graph_creation_time': 1524079283.024943, 'start_time': 1524079282.9026217, 'graph_edge_sort_time': 1524079283.0365677, 'node_count': 328}
{'first_graph_creation_time': 1524079283.0967767, 'matching_time': 1524079283.1649761, 'greatest_constraints_time': 1524079283.1628752, 'number_of_matches': 128, 'second_graph_creation_time': 1524079283.1526692, 'start_time': 1524079283.0398753, 'graph_edge_sort_time': 1524079283.1623895, 'node_count': 290}
{'first_graph_creation_time': 1524079283.2245102, 'matching_time': 1524079283.2922604, 'greatest_constraints_time': 1524079283.290702, 'number_of_matches': 95, 'second_graph_creation_time': 1524079283.2804108, 'start_time': 1524079283.1653736, 'graph_edge_sort_time': 1524079283.2902539, 'node_count': 292}
{'first_graph_creation_time': 1524079283.351281, 'matching_time': 1524079283.422631, 'greatest_constraints_time': 1524079283.4200368, 'number_of_matches': 157, 'second_graph_creation_time': 1524079283.4080029, 'start_time': 1524079283.2925947, 'graph_edge_sort_time': 1524079283.419524, 'node_count': 304}
{'first_graph_creation_time': 1524079283.4723773, 'matching_time': 1524079283.5284493, 'greatest_constraints_time': 1524079283.5266938, 'number_of_matches': 120, 'second_graph_creation_time': 1524079283.5174696, 'start_time': 1524079283.422963, 'graph_edge_sort_time': 1524079283.5262687, 'node_count': 271}
{'first_graph_creation_time': 1524079283.5806105, 'matching_time': 1524079283.642759, 'greatest_constraints_time': 1524079283.6404066, 'number_of_matches': 164, 'second_graph_creation_time': 1524079283.6287246, 'start_time': 1524079283.5287657, 'graph_edge_sort_time': 1524079283.6399372, 'node_count': 277}
{'first_graph_creation_time': 1524079283.69409, 'matching_time': 1524079283.7524688, 'greatest_constraints_time': 1524079283.7503476, 'number_of_matches': 147, 'second_graph_creation_time': 1524079283.7396102, 'start_time': 1524079283.643104, 'graph_edge_sort_time': 1524079283.7497673, 'node_count': 270}
{'first_graph_creation_time': 1524079283.8065267, 'matching_time': 1524079283.871689, 'greatest_constraints_time': 1524079283.869284, 'number_of_matches': 157, 'second_graph_creation_time': 1524079283.856577, 'start_time': 1524079283.7527723, 'graph_edge_sort_time': 1524079283.868735, 'node_count': 288}
{'first_graph_creation_time': 1524079283.9248528, 'matching_time': 1524079283.9845283, 'greatest_constraints_time': 1524079283.982444, 'number_of_matches': 129, 'second_graph_creation_time': 1524079283.972111, 'start_time': 1524079283.87202, 'graph_edge_sort_time': 1524079283.9819868, 'node_count': 274}
{'first_graph_creation_time': 1524079284.0451849, 'matching_time': 1524079284.1202018, 'greatest_constraints_time': 1524079284.1175559, 'number_of_matches': 172, 'second_graph_creation_time': 1524079284.1046581, 'start_time': 1524079283.984859, 'graph_edge_sort_time': 1524079284.11705, 'node_count': 300}
{'first_graph_creation_time': 1524079284.1788876, 'matching_time': 1524079284.2486079, 'greatest_constraints_time': 1524079284.2460992, 'number_of_matches': 146, 'second_graph_creation_time': 1524079284.2351723, 'start_time': 1524079284.120503, 'graph_edge_sort_time': 1524079284.2456057, 'node_count': 307}
