{'graph_edge_sort_time': 1524078449.850905, 'start_time': 1524078449.803917, 'number_of_matches': 191, 'node_count': 209, 'greatest_constraints_time': 1524078449.8513703, 'second_graph_creation_time': 1524078449.8440373, 'first_graph_creation_time': 1524078449.8282387, 'matching_time': 1524078449.8547342}
{'graph_edge_sort_time': 1524078449.8990076, 'start_time': 1524078449.8550382, 'number_of_matches': 203, 'node_count': 204, 'greatest_constraints_time': 1524078449.899674, 'second_graph_creation_time': 1524078449.8923078, 'first_graph_creation_time': 1524078449.8781848, 'matching_time': 1524078449.9030323}
{'graph_edge_sort_time': 1524078449.9432101, 'start_time': 1524078449.9033792, 'number_of_matches': 176, 'node_count': 183, 'greatest_constraints_time': 1524078449.9435506, 'second_graph_creation_time': 1524078449.937146, 'first_graph_creation_time': 1524078449.924551, 'matching_time': 1524078449.94648}
{'graph_edge_sort_time': 1524078449.9883747, 'start_time': 1524078449.9468534, 'number_of_matches': 178, 'node_count': 199, 'greatest_constraints_time': 1524078449.988757, 'second_graph_creation_time': 1524078449.9822536, 'first_graph_creation_time': 1524078449.9686713, 'matching_time': 1524078449.9916413}
{'graph_edge_sort_time': 1524078450.038113, 'start_time': 1524078449.9919689, 'number_of_matches': 189, 'node_count': 220, 'greatest_constraints_time': 1524078450.0385106, 'second_graph_creation_time': 1524078450.031831, 'first_graph_creation_time': 1524078450.0149632, 'matching_time': 1524078450.0412645}
{'graph_edge_sort_time': 1524078450.0851839, 'start_time': 1524078450.041545, 'number_of_matches': 189, 'node_count': 200, 'greatest_constraints_time': 1524078450.0855923, 'second_graph_creation_time': 1524078450.0788004, 'first_graph_creation_time': 1524078450.0642045, 'matching_time': 1524078450.0884178}
{'graph_edge_sort_time': 1524078450.1318793, 'start_time': 1524078450.088705, 'number_of_matches': 155, 'node_count': 196, 'greatest_constraints_time': 1524078450.132277, 'second_graph_creation_time': 1524078450.1263242, 'first_graph_creation_time': 1524078450.1098182, 'matching_time': 1524078450.1347487}
{'graph_edge_sort_time': 1524078450.2011864, 'start_time': 1524078450.1351252, 'number_of_matches': 140, 'node_count': 188, 'greatest_constraints_time': 1524078450.201538, 'second_graph_creation_time': 1524078450.1961472, 'first_graph_creation_time': 1524078450.1797018, 'matching_time': 1524078450.203608}
{'graph_edge_sort_time': 1524078450.2443705, 'start_time': 1524078450.2039661, 'number_of_matches': 134, 'node_count': 195, 'greatest_constraints_time': 1524078450.2447097, 'second_graph_creation_time': 1524078450.2397296, 'first_graph_creation_time': 1524078450.2244155, 'matching_time': 1524078450.2465966}
{'graph_edge_sort_time': 1524078450.2914755, 'start_time': 1524078450.2468643, 'number_of_matches': 175, 'node_count': 207, 'greatest_constraints_time': 1524078450.291866, 'second_graph_creation_time': 1524078450.2851822, 'first_graph_creation_time': 1524078450.2693856, 'matching_time': 1524078450.2946448}
{'graph_edge_sort_time': 1524078450.3377247, 'start_time': 1524078450.2949085, 'number_of_matches': 175, 'node_count': 201, 'greatest_constraints_time': 1524078450.3381212, 'second_graph_creation_time': 1524078450.331744, 'first_graph_creation_time': 1524078450.3165305, 'matching_time': 1524078450.3410294}
{'graph_edge_sort_time': 1524078450.3881428, 'start_time': 1524078450.3413944, 'number_of_matches': 218, 'node_count': 218, 'greatest_constraints_time': 1524078450.3886166, 'second_graph_creation_time': 1524078450.3806958, 'first_graph_creation_time': 1524078450.3656712, 'matching_time': 1524078450.3923438}
{'graph_edge_sort_time': 1524078450.4392192, 'start_time': 1524078450.3927233, 'number_of_matches': 154, 'node_count': 202, 'greatest_constraints_time': 1524078450.4396114, 'second_graph_creation_time': 1524078450.4331136, 'first_graph_creation_time': 1524078450.4167008, 'matching_time': 1524078450.4438403}
{'graph_edge_sort_time': 1524078450.486009, 'start_time': 1524078450.444147, 'number_of_matches': 166, 'node_count': 196, 'greatest_constraints_time': 1524078450.486354, 'second_graph_creation_time': 1524078450.480378, 'first_graph_creation_time': 1524078450.4655318, 'matching_time': 1524078450.4888976}
{'graph_edge_sort_time': 1524078450.5378134, 'start_time': 1524078450.4891334, 'number_of_matches': 213, 'node_count': 220, 'greatest_constraints_time': 1524078450.5382376, 'second_graph_creation_time': 1524078450.530464, 'first_graph_creation_time': 1524078450.5142615, 'matching_time': 1524078450.5414991}
{'graph_edge_sort_time': 1524078450.5820944, 'start_time': 1524078450.541769, 'number_of_matches': 142, 'node_count': 180, 'greatest_constraints_time': 1524078450.5824633, 'second_graph_creation_time': 1524078450.5769994, 'first_graph_creation_time': 1524078450.5625694, 'matching_time': 1524078450.5848978}
{'graph_edge_sort_time': 1524078450.6332474, 'start_time': 1524078450.5852942, 'number_of_matches': 165, 'node_count': 203, 'greatest_constraints_time': 1524078450.6337006, 'second_graph_creation_time': 1524078450.62721, 'first_graph_creation_time': 1524078450.6099591, 'matching_time': 1524078450.6364107}
{'graph_edge_sort_time': 1524078450.6769218, 'start_time': 1524078450.6367257, 'number_of_matches': 161, 'node_count': 185, 'greatest_constraints_time': 1524078450.6772494, 'second_graph_creation_time': 1524078450.6715631, 'first_graph_creation_time': 1524078450.6575916, 'matching_time': 1524078450.6796486}
{'graph_edge_sort_time': 1524078450.7272165, 'start_time': 1524078450.6798873, 'number_of_matches': 208, 'node_count': 208, 'greatest_constraints_time': 1524078450.727631, 'second_graph_creation_time': 1524078450.7202454, 'first_graph_creation_time': 1524078450.7034624, 'matching_time': 1524078450.7308187}
{'graph_edge_sort_time': 1524078450.7739305, 'start_time': 1524078450.731232, 'number_of_matches': 131, 'node_count': 192, 'greatest_constraints_time': 1524078450.7742531, 'second_graph_creation_time': 1524078450.7691684, 'first_graph_creation_time': 1524078450.752944, 'matching_time': 1524078450.7762027}
{'graph_edge_sort_time': 1524078450.8203466, 'start_time': 1524078450.776474, 'number_of_matches': 141, 'node_count': 189, 'greatest_constraints_time': 1524078450.820689, 'second_graph_creation_time': 1524078450.814668, 'first_graph_creation_time': 1524078450.7984629, 'matching_time': 1524078450.822938}
{'graph_edge_sort_time': 1524078450.8662777, 'start_time': 1524078450.823301, 'number_of_matches': 191, 'node_count': 192, 'greatest_constraints_time': 1524078450.8667274, 'second_graph_creation_time': 1524078450.859357, 'first_graph_creation_time': 1524078450.845655, 'matching_time': 1524078450.8699148}
{'graph_edge_sort_time': 1524078450.9202166, 'start_time': 1524078450.8703172, 'number_of_matches': 179, 'node_count': 212, 'greatest_constraints_time': 1524078450.920603, 'second_graph_creation_time': 1524078450.9137614, 'first_graph_creation_time': 1524078450.8959355, 'matching_time': 1524078450.9233832}
{'graph_edge_sort_time': 1524078450.9722645, 'start_time': 1524078450.9236498, 'number_of_matches': 136, 'node_count': 220, 'greatest_constraints_time': 1524078450.972608, 'second_graph_creation_time': 1524078450.9671052, 'first_graph_creation_time': 1524078450.9480236, 'matching_time': 1524078450.9746504}
{'graph_edge_sort_time': 1524078451.0170987, 'start_time': 1524078450.974923, 'number_of_matches': 155, 'node_count': 188, 'greatest_constraints_time': 1524078451.0174274, 'second_graph_creation_time': 1524078451.01163, 'first_graph_creation_time': 1524078450.9955678, 'matching_time': 1524078451.0197906}
{'graph_edge_sort_time': 1524078451.0679002, 'start_time': 1524078451.0200357, 'number_of_matches': 202, 'node_count': 205, 'greatest_constraints_time': 1524078451.0684533, 'second_graph_creation_time': 1524078451.0604358, 'first_graph_creation_time': 1524078451.044542, 'matching_time': 1524078451.0716374}
{'graph_edge_sort_time': 1524078451.1168072, 'start_time': 1524078451.0719717, 'number_of_matches': 145, 'node_count': 185, 'greatest_constraints_time': 1524078451.1173058, 'second_graph_creation_time': 1524078451.1111577, 'first_graph_creation_time': 1524078451.0945694, 'matching_time': 1524078451.1197865}
{'graph_edge_sort_time': 1524078451.1601963, 'start_time': 1524078451.1200712, 'number_of_matches': 150, 'node_count': 189, 'greatest_constraints_time': 1524078451.1605182, 'second_graph_creation_time': 1524078451.1548586, 'first_graph_creation_time': 1524078451.1406753, 'matching_time': 1524078451.1627638}
{'graph_edge_sort_time': 1524078451.2055607, 'start_time': 1524078451.1630044, 'number_of_matches': 186, 'node_count': 193, 'greatest_constraints_time': 1524078451.2059753, 'second_graph_creation_time': 1524078451.1987426, 'first_graph_creation_time': 1524078451.1851947, 'matching_time': 1524078451.2089877}
{'graph_edge_sort_time': 1524078451.2468987, 'start_time': 1524078451.2093236, 'number_of_matches': 158, 'node_count': 185, 'greatest_constraints_time': 1524078451.247214, 'second_graph_creation_time': 1524078451.2417293, 'first_graph_creation_time': 1524078451.2286403, 'matching_time': 1524078451.2495258}
{'graph_edge_sort_time': 1524078451.3008006, 'start_time': 1524078451.2497485, 'number_of_matches': 135, 'node_count': 200, 'greatest_constraints_time': 1524078451.301203, 'second_graph_creation_time': 1524078451.295012, 'first_graph_creation_time': 1524078451.273901, 'matching_time': 1524078451.303717}
{'graph_edge_sort_time': 1524078451.3478878, 'start_time': 1524078451.3041437, 'number_of_matches': 178, 'node_count': 194, 'greatest_constraints_time': 1524078451.3483255, 'second_graph_creation_time': 1524078451.3414412, 'first_graph_creation_time': 1524078451.3268116, 'matching_time': 1524078451.3514495}
{'graph_edge_sort_time': 1524078451.402968, 'start_time': 1524078451.3518455, 'number_of_matches': 169, 'node_count': 213, 'greatest_constraints_time': 1524078451.4033782, 'second_graph_creation_time': 1524078451.3961096, 'first_graph_creation_time': 1524078451.377594, 'matching_time': 1524078451.4061632}
{'graph_edge_sort_time': 1524078451.451203, 'start_time': 1524078451.4065223, 'number_of_matches': 172, 'node_count': 202, 'greatest_constraints_time': 1524078451.4515963, 'second_graph_creation_time': 1524078451.4451075, 'first_graph_creation_time': 1524078451.4291236, 'matching_time': 1524078451.4542546}
{'graph_edge_sort_time': 1524078451.4987736, 'start_time': 1524078451.4544911, 'number_of_matches': 129, 'node_count': 198, 'greatest_constraints_time': 1524078451.4990811, 'second_graph_creation_time': 1524078451.4939616, 'first_graph_creation_time': 1524078451.476863, 'matching_time': 1524078451.501163}
{'graph_edge_sort_time': 1524078451.554201, 'start_time': 1524078451.501558, 'number_of_matches': 167, 'node_count': 218, 'greatest_constraints_time': 1524078451.554597, 'second_graph_creation_time': 1524078451.5473526, 'first_graph_creation_time': 1524078451.5280318, 'matching_time': 1524078451.5574875}
{'graph_edge_sort_time': 1524078451.604878, 'start_time': 1524078451.557869, 'number_of_matches': 184, 'node_count': 208, 'greatest_constraints_time': 1524078451.6052928, 'second_graph_creation_time': 1524078451.59846, 'first_graph_creation_time': 1524078451.5808702, 'matching_time': 1524078451.608124}
