{'matching_time': 1524078726.3599596, 'start_time': 1524078726.1955738, 'graph_edge_sort_time': 1524078726.35865, 'number_of_matches': 64, 'first_graph_creation_time': 1524078726.279884, 'greatest_constraints_time': 1524078726.3589685, 'node_count': 205, 'second_graph_creation_time': 1524078726.34668}
{'matching_time': 1524078726.5137646, 'start_time': 1524078726.3602743, 'graph_edge_sort_time': 1524078726.51339, 'number_of_matches': 6, 'first_graph_creation_time': 1524078726.4366758, 'greatest_constraints_time': 1524078726.513674, 'node_count': 212, 'second_graph_creation_time': 1524078726.5024412}
{'matching_time': 1524078726.6453373, 'start_time': 1524078726.5140913, 'graph_edge_sort_time': 1524078726.6447186, 'number_of_matches': 29, 'first_graph_creation_time': 1524078726.5797246, 'greatest_constraints_time': 1524078726.6449668, 'node_count': 183, 'second_graph_creation_time': 1524078726.6355302}
{'matching_time': 1524078726.800221, 'start_time': 1524078726.6457427, 'graph_edge_sort_time': 1524078726.7995756, 'number_of_matches': 18, 'first_graph_creation_time': 1524078726.7226195, 'greatest_constraints_time': 1524078726.7999153, 'node_count': 211, 'second_graph_creation_time': 1524078726.7885597}
{'matching_time': 1524078726.9654014, 'start_time': 1524078726.8005404, 'graph_edge_sort_time': 1524078726.9647307, 'number_of_matches': 23, 'first_graph_creation_time': 1524078726.8823328, 'greatest_constraints_time': 1524078726.9650366, 'node_count': 217, 'second_graph_creation_time': 1524078726.9533274}
{'matching_time': 1524078727.1074667, 'start_time': 1524078726.9657156, 'graph_edge_sort_time': 1524078727.1063838, 'number_of_matches': 52, 'first_graph_creation_time': 1524078727.0361173, 'greatest_constraints_time': 1524078727.106677, 'node_count': 189, 'second_graph_creation_time': 1524078727.09596}
{'matching_time': 1524078727.2692044, 'start_time': 1524078727.1077883, 'graph_edge_sort_time': 1524078727.2680721, 'number_of_matches': 52, 'first_graph_creation_time': 1524078727.1862276, 'greatest_constraints_time': 1524078727.2683897, 'node_count': 212, 'second_graph_creation_time': 1524078727.2560236}
{'matching_time': 1524078727.4366293, 'start_time': 1524078727.269519, 'graph_edge_sort_time': 1524078727.435773, 'number_of_matches': 33, 'first_graph_creation_time': 1524078727.3519506, 'greatest_constraints_time': 1524078727.4361134, 'node_count': 218, 'second_graph_creation_time': 1524078727.4239643}
{'matching_time': 1524078727.5974767, 'start_time': 1524078727.4369404, 'graph_edge_sort_time': 1524078727.596004, 'number_of_matches': 70, 'first_graph_creation_time': 1524078727.5154638, 'greatest_constraints_time': 1524078727.5963469, 'node_count': 208, 'second_graph_creation_time': 1524078727.5838478}
{'matching_time': 1524078727.7392223, 'start_time': 1524078727.597798, 'graph_edge_sort_time': 1524078727.7382247, 'number_of_matches': 44, 'first_graph_creation_time': 1524078727.6695814, 'greatest_constraints_time': 1524078727.7385776, 'node_count': 187, 'second_graph_creation_time': 1524078727.7280803}
{'matching_time': 1524078727.9196393, 'start_time': 1524078727.7395308, 'graph_edge_sort_time': 1524078727.9188995, 'number_of_matches': 31, 'first_graph_creation_time': 1524078727.8181703, 'greatest_constraints_time': 1524078727.9191957, 'node_count': 209, 'second_graph_creation_time': 1524078727.9071648}
{'matching_time': 1524078728.058794, 'start_time': 1524078727.9199557, 'graph_edge_sort_time': 1524078728.05806, 'number_of_matches': 31, 'first_graph_creation_time': 1524078727.9901814, 'greatest_constraints_time': 1524078728.0583358, 'node_count': 191, 'second_graph_creation_time': 1524078728.0483673}
{'matching_time': 1524078728.2169387, 'start_time': 1524078728.0591033, 'graph_edge_sort_time': 1524078728.2154996, 'number_of_matches': 63, 'first_graph_creation_time': 1524078728.13647, 'greatest_constraints_time': 1524078728.215827, 'node_count': 207, 'second_graph_creation_time': 1524078728.2035258}
{'matching_time': 1524078728.3521657, 'start_time': 1524078728.217303, 'graph_edge_sort_time': 1524078728.351396, 'number_of_matches': 36, 'first_graph_creation_time': 1524078728.284637, 'greatest_constraints_time': 1524078728.3516562, 'node_count': 181, 'second_graph_creation_time': 1524078728.3417907}
{'matching_time': 1524078728.4839432, 'start_time': 1524078728.3524783, 'graph_edge_sort_time': 1524078728.4827142, 'number_of_matches': 56, 'first_graph_creation_time': 1524078728.4176152, 'greatest_constraints_time': 1524078728.4829977, 'node_count': 182, 'second_graph_creation_time': 1524078728.4729238}
{'matching_time': 1524078728.6466072, 'start_time': 1524078728.4842546, 'graph_edge_sort_time': 1524078728.646104, 'number_of_matches': 16, 'first_graph_creation_time': 1524078728.5636067, 'greatest_constraints_time': 1524078728.646382, 'node_count': 214, 'second_graph_creation_time': 1524078728.6348057}
{'matching_time': 1524078728.7728586, 'start_time': 1524078728.6469243, 'graph_edge_sort_time': 1524078728.7722743, 'number_of_matches': 22, 'first_graph_creation_time': 1524078728.7102528, 'greatest_constraints_time': 1524078728.772532, 'node_count': 180, 'second_graph_creation_time': 1524078728.7633572}
{'matching_time': 1524078728.9112804, 'start_time': 1524078728.7731698, 'graph_edge_sort_time': 1524078728.9109192, 'number_of_matches': 9, 'first_graph_creation_time': 1524078728.841632, 'greatest_constraints_time': 1524078728.9111624, 'node_count': 186, 'second_graph_creation_time': 1524078728.9013598}
{'matching_time': 1524078729.077021, 'start_time': 1524078728.9116716, 'graph_edge_sort_time': 1524078729.0755112, 'number_of_matches': 64, 'first_graph_creation_time': 1524078728.9919302, 'greatest_constraints_time': 1524078729.0758414, 'node_count': 216, 'second_graph_creation_time': 1524078729.0630798}
{'matching_time': 1524078729.232068, 'start_time': 1524078729.0773532, 'graph_edge_sort_time': 1524078729.2306747, 'number_of_matches': 64, 'first_graph_creation_time': 1524078729.1538239, 'greatest_constraints_time': 1524078729.230996, 'node_count': 208, 'second_graph_creation_time': 1524078729.2193224}
{'matching_time': 1524078729.376507, 'start_time': 1524078729.2323546, 'graph_edge_sort_time': 1524078729.3757865, 'number_of_matches': 31, 'first_graph_creation_time': 1524078729.303763, 'greatest_constraints_time': 1524078729.376059, 'node_count': 201, 'second_graph_creation_time': 1524078729.3652894}
{'matching_time': 1524078729.504251, 'start_time': 1524078729.3769944, 'graph_edge_sort_time': 1524078729.503913, 'number_of_matches': 7, 'first_graph_creation_time': 1524078729.4409003, 'greatest_constraints_time': 1524078729.5041587, 'node_count': 180, 'second_graph_creation_time': 1524078729.4950454}
{'matching_time': 1524078729.6456807, 'start_time': 1524078729.5046654, 'graph_edge_sort_time': 1524078729.6449938, 'number_of_matches': 30, 'first_graph_creation_time': 1524078729.5750632, 'greatest_constraints_time': 1524078729.6452568, 'node_count': 193, 'second_graph_creation_time': 1524078729.6349096}
{'matching_time': 1524078729.806556, 'start_time': 1524078729.6460092, 'graph_edge_sort_time': 1524078729.8050292, 'number_of_matches': 70, 'first_graph_creation_time': 1524078729.7248642, 'greatest_constraints_time': 1524078729.8054225, 'node_count': 208, 'second_graph_creation_time': 1524078729.792931}
{'matching_time': 1524078729.972228, 'start_time': 1524078729.8068798, 'graph_edge_sort_time': 1524078729.9704993, 'number_of_matches': 80, 'first_graph_creation_time': 1524078729.8877687, 'greatest_constraints_time': 1524078729.9708674, 'node_count': 217, 'second_graph_creation_time': 1524078729.9574811}
