{'greatest_constraints_time': 1524080203.3521163, 'first_graph_creation_time': 1524080203.0157142, 'start_time': 1524080202.6909432, 'matching_time': 1524080203.3628104, 'number_of_matches': 264, 'graph_edge_sort_time': 1524080203.3511474, 'node_count': 283, 'second_graph_creation_time': 1524080203.2874212}
{'greatest_constraints_time': 1524080204.1527095, 'first_graph_creation_time': 1524080203.7417023, 'start_time': 1524080203.3632183, 'matching_time': 1524080204.165705, 'number_of_matches': 299, 'graph_edge_sort_time': 1524080204.151632, 'node_count': 315, 'second_graph_creation_time': 1524080204.0755055}
{'greatest_constraints_time': 1524080204.7873743, 'first_graph_creation_time': 1524080204.4664884, 'start_time': 1524080204.1660492, 'matching_time': 1524080204.7970002, 'number_of_matches': 246, 'graph_edge_sort_time': 1524080204.7864652, 'node_count': 277, 'second_graph_creation_time': 1524080204.7280626}
{'greatest_constraints_time': 1524080205.6092312, 'first_graph_creation_time': 1524080205.1822376, 'start_time': 1524080204.797368, 'matching_time': 1524080205.6229699, 'number_of_matches': 310, 'graph_edge_sort_time': 1524080205.6082222, 'node_count': 320, 'second_graph_creation_time': 1524080205.5274045}
{'greatest_constraints_time': 1524080206.3339589, 'first_graph_creation_time': 1524080205.9645922, 'start_time': 1524080205.6233346, 'matching_time': 1524080206.3443604, 'number_of_matches': 256, 'graph_edge_sort_time': 1524080206.332814, 'node_count': 293, 'second_graph_creation_time': 1524080206.2678733}
{'greatest_constraints_time': 1524080207.0153594, 'first_graph_creation_time': 1524080206.6716144, 'start_time': 1524080206.3447382, 'matching_time': 1524080207.0263762, 'number_of_matches': 267, 'graph_edge_sort_time': 1524080207.0142827, 'node_count': 286, 'second_graph_creation_time': 1524080206.9493442}
{'greatest_constraints_time': 1524080207.8385367, 'first_graph_creation_time': 1524080207.4099293, 'start_time': 1524080207.0267231, 'matching_time': 1524080207.8491528, 'number_of_matches': 260, 'graph_edge_sort_time': 1524080207.8375266, 'node_count': 322, 'second_graph_creation_time': 1524080207.7716908}
{'greatest_constraints_time': 1524080208.4941657, 'first_graph_creation_time': 1524080208.1634953, 'start_time': 1524080207.851041, 'matching_time': 1524080208.5060685, 'number_of_matches': 279, 'graph_edge_sort_time': 1524080208.4930756, 'node_count': 283, 'second_graph_creation_time': 1524080208.4267292}
{'greatest_constraints_time': 1524080209.3280563, 'first_graph_creation_time': 1524080208.891178, 'start_time': 1524080208.5064218, 'matching_time': 1524080209.339362, 'number_of_matches': 270, 'graph_edge_sort_time': 1524080209.3268015, 'node_count': 321, 'second_graph_creation_time': 1524080209.256835}
{'greatest_constraints_time': 1524080210.1084716, 'first_graph_creation_time': 1524080209.7094328, 'start_time': 1524080209.3397067, 'matching_time': 1524080210.1218412, 'number_of_matches': 305, 'graph_edge_sort_time': 1524080210.1073346, 'node_count': 314, 'second_graph_creation_time': 1524080210.030711}
