{'greatest_constraints_time': 1524079325.4991338, 'node_count': 296, 'number_of_matches': 160, 'second_graph_creation_time': 1524079325.4886813, 'graph_edge_sort_time': 1524079325.4986525, 'first_graph_creation_time': 1524079325.4427798, 'start_time': 1524079325.3871682, 'matching_time': 1524079325.5026412}
{'greatest_constraints_time': 1524079325.603939, 'node_count': 280, 'number_of_matches': 184, 'second_graph_creation_time': 1524079325.592821, 'graph_edge_sort_time': 1524079325.60337, 'first_graph_creation_time': 1524079325.551609, 'start_time': 1524079325.5029635, 'matching_time': 1524079325.6080704}
{'greatest_constraints_time': 1524079325.7294645, 'node_count': 326, 'number_of_matches': 203, 'second_graph_creation_time': 1524079325.7164638, 'graph_edge_sort_time': 1524079325.7288828, 'first_graph_creation_time': 1524079325.6678421, 'start_time': 1524079325.6084526, 'matching_time': 1524079325.7340524}
{'greatest_constraints_time': 1524079325.8569984, 'node_count': 315, 'number_of_matches': 214, 'second_graph_creation_time': 1524079325.8432715, 'graph_edge_sort_time': 1524079325.8563936, 'first_graph_creation_time': 1524079325.7922876, 'start_time': 1524079325.7345107, 'matching_time': 1524079325.8620393}
{'greatest_constraints_time': 1524079325.9903357, 'node_count': 316, 'number_of_matches': 198, 'second_graph_creation_time': 1524079325.9775429, 'graph_edge_sort_time': 1524079325.989808, 'first_graph_creation_time': 1524079325.9249132, 'start_time': 1524079325.8623724, 'matching_time': 1524079325.9949076}
{'greatest_constraints_time': 1524079326.1159046, 'node_count': 314, 'number_of_matches': 191, 'second_graph_creation_time': 1524079326.1039085, 'graph_edge_sort_time': 1524079326.1153643, 'first_graph_creation_time': 1524079326.0532405, 'start_time': 1524079325.995231, 'matching_time': 1524079326.120364}
{'greatest_constraints_time': 1524079326.233724, 'node_count': 278, 'number_of_matches': 106, 'second_graph_creation_time': 1524079326.2224488, 'graph_edge_sort_time': 1524079326.2331946, 'first_graph_creation_time': 1524079326.1749997, 'start_time': 1524079326.1206946, 'matching_time': 1524079326.236351}
{'greatest_constraints_time': 1524079326.3644238, 'node_count': 316, 'number_of_matches': 114, 'second_graph_creation_time': 1524079326.3538787, 'graph_edge_sort_time': 1524079326.363944, 'first_graph_creation_time': 1524079326.2982326, 'start_time': 1524079326.2367399, 'matching_time': 1524079326.367211}
{'greatest_constraints_time': 1524079326.493951, 'node_count': 328, 'number_of_matches': 139, 'second_graph_creation_time': 1524079326.4825861, 'graph_edge_sort_time': 1524079326.4934547, 'first_graph_creation_time': 1524079326.4291477, 'start_time': 1524079326.3675683, 'matching_time': 1524079326.4972198}
{'greatest_constraints_time': 1524079326.6245732, 'node_count': 327, 'number_of_matches': 195, 'second_graph_creation_time': 1524079326.6120534, 'graph_edge_sort_time': 1524079326.624023, 'first_graph_creation_time': 1524079326.5583591, 'start_time': 1524079326.4976087, 'matching_time': 1524079326.6287029}
{'greatest_constraints_time': 1524079326.7373536, 'node_count': 287, 'number_of_matches': 131, 'second_graph_creation_time': 1524079326.7276077, 'graph_edge_sort_time': 1524079326.7369165, 'first_graph_creation_time': 1524079326.6807692, 'start_time': 1524079326.6290765, 'matching_time': 1524079326.739887}
{'greatest_constraints_time': 1524079326.8610356, 'node_count': 317, 'number_of_matches': 112, 'second_graph_creation_time': 1524079326.8508666, 'graph_edge_sort_time': 1524079326.8605683, 'first_graph_creation_time': 1524079326.7980778, 'start_time': 1524079326.7402434, 'matching_time': 1524079326.8633673}
{'greatest_constraints_time': 1524079326.9622643, 'node_count': 273, 'number_of_matches': 116, 'second_graph_creation_time': 1524079326.953537, 'graph_edge_sort_time': 1524079326.961856, 'first_graph_creation_time': 1524079326.912464, 'start_time': 1524079326.8636901, 'matching_time': 1524079326.9645998}
