{'first_graph_creation_time': 1524079071.3998423, 'number_of_matches': 17, 'matching_time': 1524079071.534902, 'greatest_constraints_time': 1524079071.5346868, 'second_graph_creation_time': 1524079071.517395, 'graph_edge_sort_time': 1524079071.5343451, 'start_time': 1524079071.2649965, 'node_count': 203}
{'first_graph_creation_time': 1524079071.6680386, 'number_of_matches': 40, 'matching_time': 1524079071.801544, 'greatest_constraints_time': 1524079071.8008485, 'second_graph_creation_time': 1524079071.782413, 'graph_edge_sort_time': 1524079071.8005228, 'start_time': 1524079071.5352488, 'node_count': 201}
{'first_graph_creation_time': 1524079071.9145215, 'number_of_matches': 6, 'matching_time': 1524079072.023026, 'greatest_constraints_time': 1524079072.0229447, 'second_graph_creation_time': 1524079072.008284, 'graph_edge_sort_time': 1524079072.022672, 'start_time': 1524079071.8019166, 'node_count': 182}
{'first_graph_creation_time': 1524079072.1626222, 'number_of_matches': 41, 'matching_time': 1524079072.3017309, 'greatest_constraints_time': 1524079072.300966, 'second_graph_creation_time': 1524079072.2828841, 'graph_edge_sort_time': 1524079072.300617, 'start_time': 1524079072.0233736, 'node_count': 208}
{'first_graph_creation_time': 1524079072.441165, 'number_of_matches': 48, 'matching_time': 1524079072.5798616, 'greatest_constraints_time': 1524079072.5789032, 'second_graph_creation_time': 1524079072.5603445, 'graph_edge_sort_time': 1524079072.5785384, 'start_time': 1524079072.3020809, 'node_count': 200}
{'first_graph_creation_time': 1524079072.715814, 'number_of_matches': 38, 'matching_time': 1524079072.854365, 'greatest_constraints_time': 1524079072.8537738, 'second_graph_creation_time': 1524079072.836249, 'graph_edge_sort_time': 1524079072.8534577, 'start_time': 1524079072.5802078, 'node_count': 202}
{'first_graph_creation_time': 1524079072.9964309, 'number_of_matches': 20, 'matching_time': 1524079073.1368566, 'greatest_constraints_time': 1524079073.136543, 'second_graph_creation_time': 1524079073.1189327, 'graph_edge_sort_time': 1524079073.136224, 'start_time': 1524079072.8547144, 'node_count': 208}
{'first_graph_creation_time': 1524079073.272278, 'number_of_matches': 29, 'matching_time': 1524079073.4074523, 'greatest_constraints_time': 1524079073.407024, 'second_graph_creation_time': 1524079073.3899453, 'graph_edge_sort_time': 1524079073.4066715, 'start_time': 1524079073.1371975, 'node_count': 200}
{'first_graph_creation_time': 1524079073.552285, 'number_of_matches': 14, 'matching_time': 1524079073.697641, 'greatest_constraints_time': 1524079073.6974242, 'second_graph_creation_time': 1524079073.679382, 'graph_edge_sort_time': 1524079073.697092, 'start_time': 1524079073.4078214, 'node_count': 215}
{'first_graph_creation_time': 1524079073.8124177, 'number_of_matches': 64, 'matching_time': 1524079073.9285514, 'greatest_constraints_time': 1524079073.9273636, 'second_graph_creation_time': 1524079073.9104412, 'graph_edge_sort_time': 1524079073.927042, 'start_time': 1524079073.6980164, 'node_count': 185}
