{'graph_edge_sort_time': 1524076009.595598, 'node_count': 94, 'matching_time': 1524076009.5962555, 'greatest_constraints_time': 1524076009.5957565, 'first_graph_creation_time': 1524076009.5910661, 'second_graph_creation_time': 1524076009.5940433, 'start_time': 1524076009.5850036, 'number_of_matches': 88}
{'graph_edge_sort_time': 1524076009.6064675, 'node_count': 90, 'matching_time': 1524076009.6071208, 'greatest_constraints_time': 1524076009.6066213, 'first_graph_creation_time': 1524076009.601386, 'second_graph_creation_time': 1524076009.6047897, 'start_time': 1524076009.5964649, 'number_of_matches': 85}
{'graph_edge_sort_time': 1524076009.6160553, 'node_count': 93, 'matching_time': 1524076009.616708, 'greatest_constraints_time': 1524076009.6162145, 'first_graph_creation_time': 1524076009.6119125, 'second_graph_creation_time': 1524076009.614534, 'start_time': 1524076009.6073818, 'number_of_matches': 91}
{'graph_edge_sort_time': 1524076009.627154, 'node_count': 102, 'matching_time': 1524076009.6283095, 'greatest_constraints_time': 1524076009.6274095, 'first_graph_creation_time': 1524076009.622087, 'second_graph_creation_time': 1524076009.6250877, 'start_time': 1524076009.616965, 'number_of_matches': 102}
{'graph_edge_sort_time': 1524076009.638854, 'node_count': 94, 'matching_time': 1524076009.6394198, 'greatest_constraints_time': 1524076009.6389997, 'first_graph_creation_time': 1524076009.6341937, 'second_graph_creation_time': 1524076009.6374903, 'start_time': 1524076009.628625, 'number_of_matches': 72}
{'graph_edge_sort_time': 1524076009.6526182, 'node_count': 104, 'matching_time': 1524076009.6532793, 'greatest_constraints_time': 1524076009.652793, 'first_graph_creation_time': 1524076009.6461618, 'second_graph_creation_time': 1524076009.6506524, 'start_time': 1524076009.6396735, 'number_of_matches': 78}
{'graph_edge_sort_time': 1524076009.6661327, 'node_count': 104, 'matching_time': 1524076009.6667516, 'greatest_constraints_time': 1524076009.6662896, 'first_graph_creation_time': 1524076009.6595068, 'second_graph_creation_time': 1524076009.6641097, 'start_time': 1524076009.6535547, 'number_of_matches': 71}
{'graph_edge_sort_time': 1524076009.677604, 'node_count': 91, 'matching_time': 1524076009.6781857, 'greatest_constraints_time': 1524076009.6777484, 'first_graph_creation_time': 1524076009.6727786, 'second_graph_creation_time': 1524076009.6762524, 'start_time': 1524076009.667026, 'number_of_matches': 70}
{'graph_edge_sort_time': 1524076009.6895945, 'node_count': 93, 'matching_time': 1524076009.6901462, 'greatest_constraints_time': 1524076009.6897337, 'first_graph_creation_time': 1524076009.6847048, 'second_graph_creation_time': 1524076009.6883352, 'start_time': 1524076009.6784427, 'number_of_matches': 62}
{'graph_edge_sort_time': 1524076009.7003207, 'node_count': 95, 'matching_time': 1524076009.7010424, 'greatest_constraints_time': 1524076009.7005122, 'first_graph_creation_time': 1524076009.695503, 'second_graph_creation_time': 1524076009.6988852, 'start_time': 1524076009.690452, 'number_of_matches': 71}
{'graph_edge_sort_time': 1524076009.710634, 'node_count': 93, 'matching_time': 1524076009.7113092, 'greatest_constraints_time': 1524076009.7108207, 'first_graph_creation_time': 1524076009.7061245, 'second_graph_creation_time': 1524076009.709179, 'start_time': 1524076009.7013729, 'number_of_matches': 84}
{'graph_edge_sort_time': 1524076009.7227614, 'node_count': 101, 'matching_time': 1524076009.7233984, 'greatest_constraints_time': 1524076009.7229269, 'first_graph_creation_time': 1524076009.7174137, 'second_graph_creation_time': 1524076009.7212887, 'start_time': 1524076009.71157, 'number_of_matches': 82}
{'graph_edge_sort_time': 1524076009.7363338, 'node_count': 102, 'matching_time': 1524076009.7369893, 'greatest_constraints_time': 1524076009.7364912, 'first_graph_creation_time': 1524076009.7293715, 'second_graph_creation_time': 1524076009.7347949, 'start_time': 1524076009.7236848, 'number_of_matches': 71}
{'graph_edge_sort_time': 1524076009.7467444, 'node_count': 96, 'matching_time': 1524076009.7474792, 'greatest_constraints_time': 1524076009.7468984, 'first_graph_creation_time': 1524076009.742212, 'second_graph_creation_time': 1524076009.7452419, 'start_time': 1524076009.7372758, 'number_of_matches': 81}
