{'graph_edge_sort_time': 1524076039.920836, 'first_graph_creation_time': 1524076039.916024, 'node_count': 98, 'second_graph_creation_time': 1524076039.91972, 'start_time': 1524076039.9113457, 'greatest_constraints_time': 1524076039.9209678, 'number_of_matches': 40, 'matching_time': 1524076039.9212375}
{'graph_edge_sort_time': 1524076039.9318047, 'first_graph_creation_time': 1524076039.9267628, 'node_count': 90, 'second_graph_creation_time': 1524076039.9305613, 'start_time': 1524076039.921514, 'greatest_constraints_time': 1524076039.9319415, 'number_of_matches': 42, 'matching_time': 1524076039.9323301}
{'graph_edge_sort_time': 1524076039.9449093, 'first_graph_creation_time': 1524076039.9391267, 'node_count': 109, 'second_graph_creation_time': 1524076039.9436781, 'start_time': 1524076039.9326758, 'greatest_constraints_time': 1524076039.9450448, 'number_of_matches': 43, 'matching_time': 1524076039.9453583}
{'graph_edge_sort_time': 1524076039.9573433, 'first_graph_creation_time': 1524076039.9525106, 'node_count': 90, 'second_graph_creation_time': 1524076039.956063, 'start_time': 1524076039.945649, 'greatest_constraints_time': 1524076039.9574668, 'number_of_matches': 45, 'matching_time': 1524076039.957751}
{'graph_edge_sort_time': 1524076039.9705596, 'first_graph_creation_time': 1524076039.9643142, 'node_count': 106, 'second_graph_creation_time': 1524076039.9692295, 'start_time': 1524076039.9580324, 'greatest_constraints_time': 1524076039.970693, 'number_of_matches': 38, 'matching_time': 1524076039.9709802}
{'graph_edge_sort_time': 1524076039.9836984, 'first_graph_creation_time': 1524076039.9776003, 'node_count': 101, 'second_graph_creation_time': 1524076039.9821897, 'start_time': 1524076039.9713244, 'greatest_constraints_time': 1524076039.9838588, 'number_of_matches': 44, 'matching_time': 1524076039.9841657}
{'graph_edge_sort_time': 1524076039.9963913, 'first_graph_creation_time': 1524076039.990771, 'node_count': 106, 'second_graph_creation_time': 1524076039.9947462, 'start_time': 1524076039.9844866, 'greatest_constraints_time': 1524076039.9965584, 'number_of_matches': 78, 'matching_time': 1524076039.9971478}
{'graph_edge_sort_time': 1524076040.0080888, 'first_graph_creation_time': 1524076040.0029259, 'node_count': 99, 'second_graph_creation_time': 1524076040.0067842, 'start_time': 1524076039.997443, 'greatest_constraints_time': 1524076040.0082295, 'number_of_matches': 50, 'matching_time': 1524076040.0085618}
{'graph_edge_sort_time': 1524076040.0219297, 'first_graph_creation_time': 1524076040.0154693, 'node_count': 103, 'second_graph_creation_time': 1524076040.0202305, 'start_time': 1524076040.0088663, 'greatest_constraints_time': 1524076040.022086, 'number_of_matches': 66, 'matching_time': 1524076040.022549}
{'graph_edge_sort_time': 1524076040.0351734, 'first_graph_creation_time': 1524076040.0289855, 'node_count': 107, 'second_graph_creation_time': 1524076040.0339344, 'start_time': 1524076040.0228422, 'greatest_constraints_time': 1524076040.035311, 'number_of_matches': 39, 'matching_time': 1524076040.0355856}
{'graph_edge_sort_time': 1524076040.0450013, 'first_graph_creation_time': 1524076040.0407162, 'node_count': 90, 'second_graph_creation_time': 1524076040.0440645, 'start_time': 1524076040.0358374, 'greatest_constraints_time': 1524076040.0451121, 'number_of_matches': 30, 'matching_time': 1524076040.045324}
{'graph_edge_sort_time': 1524076040.057107, 'first_graph_creation_time': 1524076040.0517786, 'node_count': 104, 'second_graph_creation_time': 1524076040.0558898, 'start_time': 1524076040.0455594, 'greatest_constraints_time': 1524076040.0572364, 'number_of_matches': 39, 'matching_time': 1524076040.0574973}
