{'second_graph_creation_time': 1524078553.5297773, 'node_count': 197, 'first_graph_creation_time': 1524078553.4766862, 'matching_time': 1524078553.5537004, 'start_time': 1524078553.4042413, 'graph_edge_sort_time': 1524078553.5489535, 'number_of_matches': 197, 'greatest_constraints_time': 1524078553.5494432}
{'second_graph_creation_time': 1524078553.690726, 'node_count': 182, 'first_graph_creation_time': 1524078553.6454315, 'matching_time': 1524078553.7130182, 'start_time': 1524078553.5540123, 'graph_edge_sort_time': 1524078553.7084053, 'number_of_matches': 182, 'greatest_constraints_time': 1524078553.7088933}
{'second_graph_creation_time': 1524078553.8217201, 'node_count': 185, 'first_graph_creation_time': 1524078553.7780008, 'matching_time': 1524078553.8432252, 'start_time': 1524078553.71336, 'graph_edge_sort_time': 1524078553.8390303, 'number_of_matches': 185, 'greatest_constraints_time': 1524078553.8394675}
{'second_graph_creation_time': 1524078553.9566758, 'node_count': 186, 'first_graph_creation_time': 1524078553.9104378, 'matching_time': 1524078553.9788003, 'start_time': 1524078553.843566, 'graph_edge_sort_time': 1524078553.9745002, 'number_of_matches': 186, 'greatest_constraints_time': 1524078553.9749434}
{'second_graph_creation_time': 1524078554.0972788, 'node_count': 198, 'first_graph_creation_time': 1524078554.0482283, 'matching_time': 1524078554.1210408, 'start_time': 1524078553.9791157, 'graph_edge_sort_time': 1524078554.1164246, 'number_of_matches': 198, 'greatest_constraints_time': 1524078554.1170235}
{'second_graph_creation_time': 1524078554.2489877, 'node_count': 208, 'first_graph_creation_time': 1524078554.1956968, 'matching_time': 1524078554.2746248, 'start_time': 1524078554.1214159, 'graph_edge_sort_time': 1524078554.2694175, 'number_of_matches': 208, 'greatest_constraints_time': 1524078554.2699635}
{'second_graph_creation_time': 1524078554.3894982, 'node_count': 182, 'first_graph_creation_time': 1524078554.3444433, 'matching_time': 1524078554.4144967, 'start_time': 1524078554.2749784, 'graph_edge_sort_time': 1524078554.410055, 'number_of_matches': 182, 'greatest_constraints_time': 1524078554.4104705}
{'second_graph_creation_time': 1524078554.551865, 'node_count': 211, 'first_graph_creation_time': 1524078554.4941034, 'matching_time': 1524078554.579909, 'start_time': 1524078554.414874, 'graph_edge_sort_time': 1524078554.5745158, 'number_of_matches': 211, 'greatest_constraints_time': 1524078554.575177}
{'second_graph_creation_time': 1524078554.7027013, 'node_count': 191, 'first_graph_creation_time': 1524078554.6530795, 'matching_time': 1524078554.726157, 'start_time': 1524078554.5802658, 'graph_edge_sort_time': 1524078554.721486, 'number_of_matches': 191, 'greatest_constraints_time': 1524078554.721953}
{'second_graph_creation_time': 1524078554.859023, 'node_count': 207, 'first_graph_creation_time': 1524078554.8046093, 'matching_time': 1524078554.8864043, 'start_time': 1524078554.7264655, 'graph_edge_sort_time': 1524078554.8804464, 'number_of_matches': 207, 'greatest_constraints_time': 1524078554.8809743}
{'second_graph_creation_time': 1524078555.0235963, 'node_count': 217, 'first_graph_creation_time': 1524078554.966292, 'matching_time': 1524078555.0516274, 'start_time': 1524078554.8868108, 'graph_edge_sort_time': 1524078555.0463257, 'number_of_matches': 217, 'greatest_constraints_time': 1524078555.0468907}
{'second_graph_creation_time': 1524078555.165155, 'node_count': 182, 'first_graph_creation_time': 1524078555.1167905, 'matching_time': 1524078555.1869197, 'start_time': 1524078555.0519874, 'graph_edge_sort_time': 1524078555.1825354, 'number_of_matches': 182, 'greatest_constraints_time': 1524078555.1829565}
{'second_graph_creation_time': 1524078555.322636, 'node_count': 212, 'first_graph_creation_time': 1524078555.265956, 'matching_time': 1524078555.3495786, 'start_time': 1524078555.1873088, 'graph_edge_sort_time': 1524078555.3445728, 'number_of_matches': 212, 'greatest_constraints_time': 1524078555.3451376}
{'second_graph_creation_time': 1524078555.4884665, 'node_count': 216, 'first_graph_creation_time': 1524078555.4303825, 'matching_time': 1524078555.5155938, 'start_time': 1524078555.349922, 'graph_edge_sort_time': 1524078555.5105147, 'number_of_matches': 216, 'greatest_constraints_time': 1524078555.5110424}
{'second_graph_creation_time': 1524078555.6616619, 'node_count': 217, 'first_graph_creation_time': 1524078555.5978284, 'matching_time': 1524078555.6899064, 'start_time': 1524078555.5159664, 'graph_edge_sort_time': 1524078555.6846335, 'number_of_matches': 217, 'greatest_constraints_time': 1524078555.6852014}
{'second_graph_creation_time': 1524078555.801991, 'node_count': 182, 'first_graph_creation_time': 1524078555.7567587, 'matching_time': 1524078555.824043, 'start_time': 1524078555.6902764, 'graph_edge_sort_time': 1524078555.8199115, 'number_of_matches': 182, 'greatest_constraints_time': 1524078555.820321}
{'second_graph_creation_time': 1524078555.9420443, 'node_count': 191, 'first_graph_creation_time': 1524078555.8929498, 'matching_time': 1524078555.968624, 'start_time': 1524078555.8243804, 'graph_edge_sort_time': 1524078555.9605162, 'number_of_matches': 191, 'greatest_constraints_time': 1524078555.9610178}
{'second_graph_creation_time': 1524078556.0909212, 'node_count': 197, 'first_graph_creation_time': 1524078556.0406094, 'matching_time': 1524078556.1155834, 'start_time': 1524078555.9690547, 'graph_edge_sort_time': 1524078556.110861, 'number_of_matches': 197, 'greatest_constraints_time': 1524078556.1113813}
{'second_graph_creation_time': 1524078556.249303, 'node_count': 207, 'first_graph_creation_time': 1524078556.194521, 'matching_time': 1524078556.275453, 'start_time': 1524078556.115964, 'graph_edge_sort_time': 1524078556.2705557, 'number_of_matches': 207, 'greatest_constraints_time': 1524078556.2710633}
{'second_graph_creation_time': 1524078556.4039211, 'node_count': 206, 'first_graph_creation_time': 1524078556.3509514, 'matching_time': 1524078556.4297173, 'start_time': 1524078556.2757964, 'graph_edge_sort_time': 1524078556.4242437, 'number_of_matches': 206, 'greatest_constraints_time': 1524078556.4248223}
{'second_graph_creation_time': 1524078556.5471418, 'node_count': 190, 'first_graph_creation_time': 1524078556.499548, 'matching_time': 1524078556.5701604, 'start_time': 1524078556.4300232, 'graph_edge_sort_time': 1524078556.5656002, 'number_of_matches': 190, 'greatest_constraints_time': 1524078556.56605}
{'second_graph_creation_time': 1524078556.6806753, 'node_count': 184, 'first_graph_creation_time': 1524078556.6356976, 'matching_time': 1524078556.7027962, 'start_time': 1524078556.5704713, 'graph_edge_sort_time': 1524078556.6983643, 'number_of_matches': 184, 'greatest_constraints_time': 1524078556.6988306}
{'second_graph_creation_time': 1524078556.8317444, 'node_count': 199, 'first_graph_creation_time': 1524078556.779281, 'matching_time': 1524078556.856615, 'start_time': 1524078556.703141, 'graph_edge_sort_time': 1524078556.8518605, 'number_of_matches': 199, 'greatest_constraints_time': 1524078556.8523684}
{'second_graph_creation_time': 1524078556.9835868, 'node_count': 206, 'first_graph_creation_time': 1524078556.9314764, 'matching_time': 1524078557.0089395, 'start_time': 1524078556.8569627, 'graph_edge_sort_time': 1524078557.0041757, 'number_of_matches': 206, 'greatest_constraints_time': 1524078557.0046804}
{'second_graph_creation_time': 1524078557.1315308, 'node_count': 192, 'first_graph_creation_time': 1524078557.0818608, 'matching_time': 1524078557.1559079, 'start_time': 1524078557.0092912, 'graph_edge_sort_time': 1524078557.1508682, 'number_of_matches': 192, 'greatest_constraints_time': 1524078557.1513875}
{'second_graph_creation_time': 1524078557.2912567, 'node_count': 215, 'first_graph_creation_time': 1524078557.2346404, 'matching_time': 1524078557.318232, 'start_time': 1524078557.1562865, 'graph_edge_sort_time': 1524078557.3128843, 'number_of_matches': 215, 'greatest_constraints_time': 1524078557.3134537}
