{'graph_edge_sort_time': 1524079372.5616524, 'first_graph_creation_time': 1524079372.5077105, 'matching_time': 1524079372.5625067, 'node_count': 305, 'greatest_constraints_time': 1524079372.5620146, 'start_time': 1524079372.454621, 'second_graph_creation_time': 1524079372.553622, 'number_of_matches': 25}
{'graph_edge_sort_time': 1524079372.6905563, 'first_graph_creation_time': 1524079372.6238155, 'matching_time': 1524079372.691586, 'node_count': 325, 'greatest_constraints_time': 1524079372.690943, 'start_time': 1524079372.5628076, 'second_graph_creation_time': 1524079372.6804547, 'number_of_matches': 22}
{'graph_edge_sort_time': 1524079372.8102937, 'first_graph_creation_time': 1524079372.748535, 'matching_time': 1524079372.8124278, 'node_count': 329, 'greatest_constraints_time': 1524079372.8107488, 'start_time': 1524079372.691937, 'second_graph_creation_time': 1524079372.8010082, 'number_of_matches': 83}
{'graph_edge_sort_time': 1524079372.9307735, 'first_graph_creation_time': 1524079372.8702934, 'matching_time': 1524079372.932498, 'node_count': 325, 'greatest_constraints_time': 1524079372.931184, 'start_time': 1524079372.8127577, 'second_graph_creation_time': 1524079372.9221332, 'number_of_matches': 59}
{'graph_edge_sort_time': 1524079373.033631, 'first_graph_creation_time': 1524079372.9821813, 'matching_time': 1524079373.034723, 'node_count': 284, 'greatest_constraints_time': 1524079373.034059, 'start_time': 1524079372.9328258, 'second_graph_creation_time': 1524079373.0257952, 'number_of_matches': 33}
{'graph_edge_sort_time': 1524079373.158387, 'first_graph_creation_time': 1524079373.0951161, 'matching_time': 1524079373.1610363, 'node_count': 319, 'greatest_constraints_time': 1524079373.1588624, 'start_time': 1524079373.0350883, 'second_graph_creation_time': 1524079373.1485908, 'number_of_matches': 103}
{'graph_edge_sort_time': 1524079373.2828825, 'first_graph_creation_time': 1524079373.2201064, 'matching_time': 1524079373.2837956, 'node_count': 310, 'greatest_constraints_time': 1524079373.283334, 'start_time': 1524079373.1614387, 'second_graph_creation_time': 1524079373.2738395, 'number_of_matches': 18}
{'graph_edge_sort_time': 1524079373.4067438, 'first_graph_creation_time': 1524079373.3433323, 'matching_time': 1524079373.4082599, 'node_count': 322, 'greatest_constraints_time': 1524079373.4071703, 'start_time': 1524079373.28409, 'second_graph_creation_time': 1524079373.3969178, 'number_of_matches': 53}
{'graph_edge_sort_time': 1524079373.5221877, 'first_graph_creation_time': 1524079373.4643652, 'matching_time': 1524079373.523435, 'node_count': 298, 'greatest_constraints_time': 1524079373.5225763, 'start_time': 1524079373.4086645, 'second_graph_creation_time': 1524079373.513424, 'number_of_matches': 42}
{'graph_edge_sort_time': 1524079373.634498, 'first_graph_creation_time': 1524079373.5773149, 'matching_time': 1524079373.6363282, 'node_count': 300, 'greatest_constraints_time': 1524079373.6350162, 'start_time': 1524079373.5237308, 'second_graph_creation_time': 1524079373.625854, 'number_of_matches': 52}
{'graph_edge_sort_time': 1524079373.7645664, 'first_graph_creation_time': 1524079373.6984844, 'matching_time': 1524079373.7660017, 'node_count': 326, 'greatest_constraints_time': 1524079373.7649832, 'start_time': 1524079373.6366878, 'second_graph_creation_time': 1524079373.7553878, 'number_of_matches': 47}
{'graph_edge_sort_time': 1524079373.8780408, 'first_graph_creation_time': 1524079373.8211257, 'matching_time': 1524079373.8801544, 'node_count': 298, 'greatest_constraints_time': 1524079373.8784564, 'start_time': 1524079373.7663555, 'second_graph_creation_time': 1524079373.8695855, 'number_of_matches': 80}
{'graph_edge_sort_time': 1524079373.9790885, 'first_graph_creation_time': 1524079373.9296615, 'matching_time': 1524079373.9802773, 'node_count': 271, 'greatest_constraints_time': 1524079373.979427, 'start_time': 1524079373.8804977, 'second_graph_creation_time': 1524079373.971622, 'number_of_matches': 46}
{'graph_edge_sort_time': 1524079374.0896864, 'first_graph_creation_time': 1524079374.033686, 'matching_time': 1524079374.0912628, 'node_count': 301, 'greatest_constraints_time': 1524079374.0901656, 'start_time': 1524079373.9805393, 'second_graph_creation_time': 1524079374.080812, 'number_of_matches': 50}
{'graph_edge_sort_time': 1524079374.214715, 'first_graph_creation_time': 1524079374.150671, 'matching_time': 1524079374.2170434, 'node_count': 327, 'greatest_constraints_time': 1524079374.2151725, 'start_time': 1524079374.091587, 'second_graph_creation_time': 1524079374.2053971, 'number_of_matches': 78}
{'graph_edge_sort_time': 1524079374.3257792, 'first_graph_creation_time': 1524079374.270411, 'matching_time': 1524079374.3278687, 'node_count': 291, 'greatest_constraints_time': 1524079374.3261814, 'start_time': 1524079374.2173877, 'second_graph_creation_time': 1524079374.316674, 'number_of_matches': 84}
{'graph_edge_sort_time': 1524079374.432123, 'first_graph_creation_time': 1524079374.3800793, 'matching_time': 1524079374.4341466, 'node_count': 290, 'greatest_constraints_time': 1524079374.4325368, 'start_time': 1524079374.3282056, 'second_graph_creation_time': 1524079374.4241376, 'number_of_matches': 76}
{'graph_edge_sort_time': 1524079374.5495813, 'first_graph_creation_time': 1524079374.4904814, 'matching_time': 1524079374.5517597, 'node_count': 298, 'greatest_constraints_time': 1524079374.5499966, 'start_time': 1524079374.4345634, 'second_graph_creation_time': 1524079374.5403712, 'number_of_matches': 71}
{'graph_edge_sort_time': 1524079374.6736715, 'first_graph_creation_time': 1524079374.6104093, 'matching_time': 1524079374.6757917, 'node_count': 319, 'greatest_constraints_time': 1524079374.674101, 'start_time': 1524079374.5520947, 'second_graph_creation_time': 1524079374.6641722, 'number_of_matches': 76}
{'graph_edge_sort_time': 1524079374.7781525, 'first_graph_creation_time': 1524079374.7259254, 'matching_time': 1524079374.7791963, 'node_count': 272, 'greatest_constraints_time': 1524079374.7784798, 'start_time': 1524079374.676169, 'second_graph_creation_time': 1524079374.7702332, 'number_of_matches': 35}
{'graph_edge_sort_time': 1524079374.8860705, 'first_graph_creation_time': 1524079374.8317428, 'matching_time': 1524079374.8876143, 'node_count': 289, 'greatest_constraints_time': 1524079374.8864255, 'start_time': 1524079374.7795377, 'second_graph_creation_time': 1524079374.8774996, 'number_of_matches': 62}
{'graph_edge_sort_time': 1524079375.0169706, 'first_graph_creation_time': 1524079374.9508207, 'matching_time': 1524079375.0204608, 'node_count': 325, 'greatest_constraints_time': 1524079375.0174682, 'start_time': 1524079374.8879902, 'second_graph_creation_time': 1524079375.0063515, 'number_of_matches': 130}
{'graph_edge_sort_time': 1524079375.1437273, 'first_graph_creation_time': 1524079375.0814447, 'matching_time': 1524079375.145153, 'node_count': 320, 'greatest_constraints_time': 1524079375.1441803, 'start_time': 1524079375.0208056, 'second_graph_creation_time': 1524079375.1346354, 'number_of_matches': 48}
{'graph_edge_sort_time': 1524079375.270655, 'first_graph_creation_time': 1524079375.20669, 'matching_time': 1524079375.2713547, 'node_count': 310, 'greatest_constraints_time': 1524079375.271021, 'start_time': 1524079375.145513, 'second_graph_creation_time': 1524079375.2615697, 'number_of_matches': 15}
{'graph_edge_sort_time': 1524079375.3807206, 'first_graph_creation_time': 1524079375.3252864, 'matching_time': 1524079375.381684, 'node_count': 300, 'greatest_constraints_time': 1524079375.3810706, 'start_time': 1524079375.2716942, 'second_graph_creation_time': 1524079375.3726935, 'number_of_matches': 26}
{'graph_edge_sort_time': 1524079375.5039067, 'first_graph_creation_time': 1524079375.4419184, 'matching_time': 1524079375.504791, 'node_count': 306, 'greatest_constraints_time': 1524079375.5042646, 'start_time': 1524079375.3820057, 'second_graph_creation_time': 1524079375.494733, 'number_of_matches': 26}
{'graph_edge_sort_time': 1524079375.622224, 'first_graph_creation_time': 1524079375.5618632, 'matching_time': 1524079375.623455, 'node_count': 322, 'greatest_constraints_time': 1524079375.6226058, 'start_time': 1524079375.5051157, 'second_graph_creation_time': 1524079375.613135, 'number_of_matches': 40}
{'graph_edge_sort_time': 1524079375.7379978, 'first_graph_creation_time': 1524079375.6793468, 'matching_time': 1524079375.7385936, 'node_count': 312, 'greatest_constraints_time': 1524079375.7383676, 'start_time': 1524079375.6237824, 'second_graph_creation_time': 1524079375.72898, 'number_of_matches': 12}
{'graph_edge_sort_time': 1524079375.868108, 'first_graph_creation_time': 1524079375.8004441, 'matching_time': 1524079375.870861, 'node_count': 329, 'greatest_constraints_time': 1524079375.8686855, 'start_time': 1524079375.7389195, 'second_graph_creation_time': 1524079375.8574526, 'number_of_matches': 99}
{'graph_edge_sort_time': 1524079375.9827635, 'first_graph_creation_time': 1524079375.9265237, 'matching_time': 1524079375.9850225, 'node_count': 301, 'greatest_constraints_time': 1524079375.9832785, 'start_time': 1524079375.8711505, 'second_graph_creation_time': 1524079375.9740407, 'number_of_matches': 80}
{'graph_edge_sort_time': 1524079376.08627, 'first_graph_creation_time': 1524079376.0349507, 'matching_time': 1524079376.0876179, 'node_count': 278, 'greatest_constraints_time': 1524079376.0866225, 'start_time': 1524079375.9854505, 'second_graph_creation_time': 1524079376.0782442, 'number_of_matches': 51}
{'graph_edge_sort_time': 1524079376.234861, 'first_graph_creation_time': 1524079376.1459744, 'matching_time': 1524079376.2358227, 'node_count': 307, 'greatest_constraints_time': 1524079376.235341, 'start_time': 1524079376.087931, 'second_graph_creation_time': 1524079376.226191, 'number_of_matches': 24}
{'graph_edge_sort_time': 1524079376.338398, 'first_graph_creation_time': 1524079376.2865374, 'matching_time': 1524079376.3390067, 'node_count': 293, 'greatest_constraints_time': 1524079376.3387427, 'start_time': 1524079376.2361524, 'second_graph_creation_time': 1524079376.3305185, 'number_of_matches': 15}
{'graph_edge_sort_time': 1524079376.4421673, 'first_graph_creation_time': 1524079376.389081, 'matching_time': 1524079376.443474, 'node_count': 280, 'greatest_constraints_time': 1524079376.4425328, 'start_time': 1524079376.3392982, 'second_graph_creation_time': 1524079376.4341645, 'number_of_matches': 46}
{'graph_edge_sort_time': 1524079376.553564, 'first_graph_creation_time': 1524079376.4972153, 'matching_time': 1524079376.555609, 'node_count': 318, 'greatest_constraints_time': 1524079376.5539815, 'start_time': 1524079376.4437711, 'second_graph_creation_time': 1524079376.5446076, 'number_of_matches': 80}
{'graph_edge_sort_time': 1524079376.6714177, 'first_graph_creation_time': 1524079376.610899, 'matching_time': 1524079376.6738784, 'node_count': 298, 'greatest_constraints_time': 1524079376.6718352, 'start_time': 1524079376.5558996, 'second_graph_creation_time': 1524079376.6618621, 'number_of_matches': 92}
{'graph_edge_sort_time': 1524079376.7923508, 'first_graph_creation_time': 1524079376.7321413, 'matching_time': 1524079376.7943194, 'node_count': 303, 'greatest_constraints_time': 1524079376.7927756, 'start_time': 1524079376.6743472, 'second_graph_creation_time': 1524079376.7830875, 'number_of_matches': 75}
