{'first_graph_creation_time': 1524080026.2679963, 'node_count': 320, 'second_graph_creation_time': 1524080026.5936167, 'number_of_matches': 320, 'graph_edge_sort_time': 1524080026.6690264, 'start_time': 1524080025.8927, 'greatest_constraints_time': 1524080026.670215, 'matching_time': 1524080026.68479}
{'first_graph_creation_time': 1524080027.0723467, 'node_count': 327, 'second_graph_creation_time': 1524080027.411572, 'number_of_matches': 327, 'graph_edge_sort_time': 1524080027.48894, 'start_time': 1524080026.6851187, 'greatest_constraints_time': 1524080027.4902387, 'matching_time': 1524080027.5136425}
{'first_graph_creation_time': 1524080027.891298, 'node_count': 319, 'second_graph_creation_time': 1524080028.222556, 'number_of_matches': 319, 'graph_edge_sort_time': 1524080028.2995105, 'start_time': 1524080027.5139616, 'greatest_constraints_time': 1524080028.3008106, 'matching_time': 1524080028.315331}
{'first_graph_creation_time': 1524080028.6854026, 'node_count': 315, 'second_graph_creation_time': 1524080029.0026324, 'number_of_matches': 315, 'graph_edge_sort_time': 1524080029.0784738, 'start_time': 1524080028.315656, 'greatest_constraints_time': 1524080029.0796897, 'matching_time': 1524080029.0941966}
{'first_graph_creation_time': 1524080029.419041, 'node_count': 289, 'second_graph_creation_time': 1524080029.6885927, 'number_of_matches': 289, 'graph_edge_sort_time': 1524080029.7540267, 'start_time': 1524080029.0961733, 'greatest_constraints_time': 1524080029.7550354, 'matching_time': 1524080029.7678618}
{'first_graph_creation_time': 1524080030.0731893, 'node_count': 281, 'second_graph_creation_time': 1524080030.3298235, 'number_of_matches': 281, 'graph_edge_sort_time': 1524080030.3916926, 'start_time': 1524080029.7682133, 'greatest_constraints_time': 1524080030.3926296, 'matching_time': 1524080030.4045248}
{'first_graph_creation_time': 1524080030.7080686, 'node_count': 279, 'second_graph_creation_time': 1524080030.9525926, 'number_of_matches': 279, 'graph_edge_sort_time': 1524080031.0141628, 'start_time': 1524080030.4048972, 'greatest_constraints_time': 1524080031.0151691, 'matching_time': 1524080031.0268736}
{'first_graph_creation_time': 1524080031.3824172, 'node_count': 308, 'second_graph_creation_time': 1524080031.6869452, 'number_of_matches': 308, 'graph_edge_sort_time': 1524080031.7589266, 'start_time': 1524080031.0272632, 'greatest_constraints_time': 1524080031.7599244, 'matching_time': 1524080031.774004}
{'first_graph_creation_time': 1524080032.1298778, 'node_count': 305, 'second_graph_creation_time': 1524080032.4341044, 'number_of_matches': 305, 'graph_edge_sort_time': 1524080032.506965, 'start_time': 1524080031.774365, 'greatest_constraints_time': 1524080032.5081637, 'matching_time': 1524080032.521939}
{'first_graph_creation_time': 1524080032.8625422, 'node_count': 295, 'second_graph_creation_time': 1524080033.1443474, 'number_of_matches': 295, 'graph_edge_sort_time': 1524080033.2131872, 'start_time': 1524080032.5224242, 'greatest_constraints_time': 1524080033.2142267, 'matching_time': 1524080033.2288785}
{'first_graph_creation_time': 1524080033.5231774, 'node_count': 278, 'second_graph_creation_time': 1524080033.76615, 'number_of_matches': 278, 'graph_edge_sort_time': 1524080033.8272262, 'start_time': 1524080033.229245, 'greatest_constraints_time': 1524080033.8281283, 'matching_time': 1524080033.8400016}
{'first_graph_creation_time': 1524080034.1265533, 'node_count': 270, 'second_graph_creation_time': 1524080034.3554592, 'number_of_matches': 270, 'graph_edge_sort_time': 1524080034.4126883, 'start_time': 1524080033.8403702, 'greatest_constraints_time': 1524080034.4135723, 'matching_time': 1524080034.4248252}
{'first_graph_creation_time': 1524080034.8099809, 'node_count': 325, 'second_graph_creation_time': 1524080035.149612, 'number_of_matches': 325, 'graph_edge_sort_time': 1524080035.2270896, 'start_time': 1524080034.4268434, 'greatest_constraints_time': 1524080035.2282844, 'matching_time': 1524080035.244915}
{'first_graph_creation_time': 1524080035.5434701, 'node_count': 280, 'second_graph_creation_time': 1524080035.7905023, 'number_of_matches': 280, 'graph_edge_sort_time': 1524080035.8519151, 'start_time': 1524080035.2453048, 'greatest_constraints_time': 1524080035.852958, 'matching_time': 1524080035.8646796}
{'first_graph_creation_time': 1524080036.2070706, 'node_count': 299, 'second_graph_creation_time': 1524080036.493274, 'number_of_matches': 299, 'graph_edge_sort_time': 1524080036.5616405, 'start_time': 1524080035.8650515, 'greatest_constraints_time': 1524080036.5625644, 'matching_time': 1524080036.5756502}
{'first_graph_creation_time': 1524080036.899662, 'node_count': 291, 'second_graph_creation_time': 1524080037.169982, 'number_of_matches': 291, 'graph_edge_sort_time': 1524080037.2350895, 'start_time': 1524080036.5760314, 'greatest_constraints_time': 1524080037.2360427, 'matching_time': 1524080037.2500997}
{'first_graph_creation_time': 1524080037.6229057, 'node_count': 320, 'second_graph_creation_time': 1524080037.9431098, 'number_of_matches': 320, 'graph_edge_sort_time': 1524080038.0188339, 'start_time': 1524080037.2504282, 'greatest_constraints_time': 1524080038.0200844, 'matching_time': 1524080038.0342097}
{'first_graph_creation_time': 1524080038.4036252, 'node_count': 320, 'second_graph_creation_time': 1524080038.7226083, 'number_of_matches': 320, 'graph_edge_sort_time': 1524080038.7973611, 'start_time': 1524080038.0345685, 'greatest_constraints_time': 1524080038.798509, 'matching_time': 1524080038.8129349}
{'first_graph_creation_time': 1524080039.170757, 'node_count': 312, 'second_graph_creation_time': 1524080039.478791, 'number_of_matches': 312, 'graph_edge_sort_time': 1524080039.5503883, 'start_time': 1524080038.8132815, 'greatest_constraints_time': 1524080039.5514593, 'matching_time': 1524080039.5665138}
{'first_graph_creation_time': 1524080039.9372818, 'node_count': 322, 'second_graph_creation_time': 1524080040.2697692, 'number_of_matches': 322, 'graph_edge_sort_time': 1524080040.346296, 'start_time': 1524080039.566885, 'greatest_constraints_time': 1524080040.347444, 'matching_time': 1524080040.361951}
{'first_graph_creation_time': 1524080040.7421207, 'node_count': 325, 'second_graph_creation_time': 1524080041.0700996, 'number_of_matches': 325, 'graph_edge_sort_time': 1524080041.1464853, 'start_time': 1524080040.3623226, 'greatest_constraints_time': 1524080041.1476002, 'matching_time': 1524080041.1625276}
{'first_graph_creation_time': 1524080041.4514196, 'node_count': 273, 'second_graph_creation_time': 1524080041.6869237, 'number_of_matches': 273, 'graph_edge_sort_time': 1524080041.745665, 'start_time': 1524080041.1628911, 'greatest_constraints_time': 1524080041.7465348, 'matching_time': 1524080041.7579699}
{'first_graph_creation_time': 1524080042.0902483, 'node_count': 291, 'second_graph_creation_time': 1524080042.3676457, 'number_of_matches': 291, 'graph_edge_sort_time': 1524080042.4359496, 'start_time': 1524080041.7583175, 'greatest_constraints_time': 1524080042.4369314, 'matching_time': 1524080042.4496303}
{'first_graph_creation_time': 1524080042.7532501, 'node_count': 278, 'second_graph_creation_time': 1524080042.9965284, 'number_of_matches': 278, 'graph_edge_sort_time': 1524080043.0575483, 'start_time': 1524080042.4499404, 'greatest_constraints_time': 1524080043.0584986, 'matching_time': 1524080043.0704298}
{'first_graph_creation_time': 1524080043.414766, 'node_count': 298, 'second_graph_creation_time': 1524080043.7029343, 'number_of_matches': 298, 'graph_edge_sort_time': 1524080043.7719672, 'start_time': 1524080043.0707693, 'greatest_constraints_time': 1524080043.772887, 'matching_time': 1524080043.787856}
{'first_graph_creation_time': 1524080044.1031883, 'node_count': 287, 'second_graph_creation_time': 1524080044.3658025, 'number_of_matches': 287, 'graph_edge_sort_time': 1524080044.4336007, 'start_time': 1524080043.7882009, 'greatest_constraints_time': 1524080044.4348087, 'matching_time': 1524080044.4472337}
{'first_graph_creation_time': 1524080044.81728, 'node_count': 317, 'second_graph_creation_time': 1524080045.1420972, 'number_of_matches': 317, 'graph_edge_sort_time': 1524080045.2167287, 'start_time': 1524080044.4475513, 'greatest_constraints_time': 1524080045.2182271, 'matching_time': 1524080045.2342184}
{'first_graph_creation_time': 1524080045.5596952, 'node_count': 291, 'second_graph_creation_time': 1524080045.828321, 'number_of_matches': 291, 'graph_edge_sort_time': 1524080045.8933372, 'start_time': 1524080045.2361488, 'greatest_constraints_time': 1524080045.8944786, 'matching_time': 1524080045.907338}
{'first_graph_creation_time': 1524080046.1993961, 'node_count': 276, 'second_graph_creation_time': 1524080046.4405081, 'number_of_matches': 276, 'graph_edge_sort_time': 1524080046.5006351, 'start_time': 1524080045.9077046, 'greatest_constraints_time': 1524080046.5016444, 'matching_time': 1524080046.513126}
